# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,600000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,43,80,0,192
2,0,55,80,0,192
1,0,71,80,0,192
1,0,79,80,0,192
2,0,43,80,192,384
2,0,55,80,192,384
1,0,71,80,192,384
1,0,79,80,192,384
2,0,43,80,384,576
2,0,55,80,384,576
1,0,74,80,384,576
1,0,83,80,384,576
2,0,43,80,576,960
2,0,55,80,576,960
1,0,71,80,576,960
1,0,79,80,576,960
1,0,62,80,960,1152
2,0,43,80,1152,1536
2,0,55,80,1152,1536
2,0,59,80,1152,1344
1,0,74,80,1152,1344
1,0,62,80,1344,1536
1,0,71,80,1344,1536
1,0,67,80,1536,1728
1,0,67,80,1536,1728
2,0,43,80,1728,2112
2,0,55,80,1728,2112
1,0,60,80,1728,1920
1,0,64,80,1728,1920
1,0,64,80,1920,2112
1,0,72,80,1920,2112
1,0,69,80,2112,2304
1,0,69,80,2112,2304
2,0,43,80,2304,2688
2,0,55,80,2304,2688
2,0,57,80,2304,2496
1,0,66,80,2304,2496
1,0,60,80,2496,2688
1,0,74,80,2496,2688
1,0,66,80,2688,2880
1,0,72,80,2688,2880
2,0,43,80,2880,3264
2,0,55,80,2880,3264
2,0,59,80,2880,3072
1,0,71,80,2880,3264
1,0,62,80,3072,3264
1,0,67,80,3264,3456
1,0,71,80,3264,3456
2,0,54,80,3456,3840
1,0,69,80,3456,3648
1,0,69,80,3456,3648
1,0,62,80,3648,3840
1,0,74,80,3648,3840
2,0,50,80,3840,4032
1,0,66,80,3840,4032
1,0,69,80,3840,4016
1,0,69,80,3840,4032
1,0,69,80,4016,4032
2,0,55,80,4032,4224
1,0,64,80,4032,4224
1,0,67,80,4032,4224
1,0,67,80,4032,4224
2,0,57,80,4224,4416
1,0,62,80,4224,4416
1,0,66,80,4224,4416
1,0,66,80,4224,4416
2,0,45,80,4416,4608
1,0,61,80,4416,4608
1,0,64,80,4416,4608
1,0,64,80,4416,4608
2,0,50,80,4608,4992
1,0,62,80,4608,4992
1,0,62,80,4608,4704
1,0,66,80,4704,4800
1,0,67,80,4800,4896
1,0,69,80,4896,4992
1,0,71,80,4992,5088
1,0,73,80,5088,5184
1,0,74,80,5184,5376
1,0,74,80,5568,5760
2,0,50,80,5760,6144
2,0,57,80,5760,5952
1,0,69,80,5760,6144
1,0,62,80,5952,6144
2,0,48,80,6144,6336
1,0,66,80,6144,6336
1,0,69,80,6144,6336
2,0,47,80,6336,6720
2,0,59,80,6336,6528
1,0,71,80,6336,6528
1,0,62,80,6528,6720
1,0,69,80,6528,6720
2,0,52,80,6720,6912
1,0,68,80,6720,6912
1,0,71,80,6720,6912
2,0,45,80,6912,7296
1,0,60,80,6912,7104
1,0,72,80,6912,7296
1,0,64,80,7104,7296
1,0,69,80,7296,7488
1,0,74,80,7296,7488
1,0,60,80,7488,7680
1,0,76,80,7488,7872
1,0,64,80,7680,7872
1,0,69,80,7872,8064
1,0,72,80,7872,7968
1,0,69,80,7968,8064
2,0,50,80,8064,8448
2,0,57,80,8064,8256
1,0,66,80,8064,8448
1,0,62,80,8256,8448
2,0,48,80,8448,8640
1,0,66,80,8448,8640
1,0,66,80,8448,8640
2,0,47,80,8640,9024
2,0,59,80,8640,8832
1,0,67,80,8640,8832
1,0,62,80,8832,9024
1,0,69,80,8832,9024
2,0,43,80,9024,9216
1,0,67,80,9024,9216
1,0,71,80,9024,9216
2,0,50,80,9216,9600
1,0,66,80,9216,9312
1,0,69,80,9216,9600
1,0,62,80,9312,9408
1,0,66,80,9408,9504
1,0,69,80,9504,9600
1,0,73,80,9600,9696
1,0,74,80,9696,9792
1,0,62,80,9792,10176
1,0,69,80,10176,10368
2,0,55,80,10368,10752
2,0,59,80,10368,10560
1,0,71,80,10368,10752
1,0,62,80,10560,10752
2,0,53,80,10752,10944
1,0,67,80,10752,10944
1,0,71,80,10752,10944
2,0,52,80,10944,11520
1,0,60,80,10944,11136
1,0,72,80,10944,11136
1,0,64,80,11136,11328
1,0,71,80,11136,11328
1,0,67,80,11328,11520
1,0,72,80,11328,11520
2,0,47,80,11520,12096
1,0,62,80,11520,11712
1,0,74,80,11520,11904
1,0,65,80,11712,11904
1,0,67,80,11904,12096
1,0,75,80,11904,12096
2,0,48,80,12096,12480
1,0,60,80,12096,12288
1,0,76,80,12096,12480
1,0,64,80,12288,12480
1,0,67,80,12480,12672
1,0,76,80,12480,12672
2,0,48,80,12672,13248
2,0,57,80,12672,12864
1,0,74,80,12672,12864
1,0,62,80,12864,13056
1,0,66,80,12864,13056
1,0,66,80,13056,13248
1,0,66,80,13056,13248
2,0,47,80,13248,13440
1,0,67,80,13248,13440
1,0,67,80,13248,13440
2,0,48,80,13440,13824
1,0,64,80,13440,13632
1,0,72,80,13440,13632
1,0,60,80,13632,13824
1,0,69,80,13632,13824
2,0,50,80,13824,14400
2,0,59,80,13824,14016
1,0,67,80,13824,14592
1,0,62,80,14016,14208
1,0,67,80,14208,14400
2,0,38,80,14400,14976
1,0,60,80,14400,14592
1,0,62,80,14592,14784
1,0,71,80,14592,14784
1,0,66,80,14784,14976
1,0,69,80,14784,14976
2,0,43,80,14976,15360
2,0,59,80,14976,15360
1,0,67,80,14976,15360
1,0,67,80,14976,15360
