# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
1,0,67,80,0,128
1,0,66,80,128,256
1,0,67,80,256,384
1,0,70,80,384,768
1,0,67,80,768,1152
1,0,62,80,1152,1536
1,0,72,80,1536,1664
1,0,74,80,1664,1792
1,0,72,80,1792,1920
1,0,75,80,1920,2304
1,0,72,80,2304,2688
1,0,66,80,2688,3072
1,0,74,80,3072,3200
1,0,75,80,3200,3328
1,0,72,80,3328,3456
1,0,70,80,3456,3840
1,0,70,80,3840,3968
1,0,72,80,3968,4096
1,0,69,80,4096,4224
1,0,67,80,4224,4608
1,0,62,80,4608,4992
1,0,63,80,4992,5376
1,0,62,80,5376,5568
1,0,63,80,5760,6144
1,0,62,80,6144,6288
1,0,62,80,6480,6528
1,0,63,80,6528,7664
1,0,62,80,7632,7664
1,0,63,80,7664,8016
1,0,62,80,8064,8448
1,0,74,80,8448,8832
1,0,79,80,9984,10752
1,0,78,80,10752,11136
1,0,84,80,11520,12288
1,0,82,80,12288,12480
1,0,81,80,12480,12672
1,0,79,80,12672,13056
1,0,78,80,13056,13440
1,0,79,80,13440,13824
1,0,74,80,13824,14208
1,0,73,80,14208,14592
1,0,74,80,14592,14976
1,0,73,80,14976,15360
1,0,74,80,15360,15744
1,0,67,80,15744,16128
1,0,69,80,16128,16320
1,0,70,80,16320,16512
1,0,72,80,16512,16896
1,0,73,80,16896,17280
1,0,74,80,17280,17664
1,0,62,80,19200,19584
1,0,62,80,19584,19968
1,0,63,80,20736,21120
1,0,63,80,21120,21504
2,0,58,80,22272,22656
2,0,58,80,22656,23040
1,0,65,80,26112,26240
1,0,64,80,26240,26368
1,0,65,80,26368,26496
1,0,70,80,26496,26688
1,0,65,80,26880,27008
1,0,64,80,27008,27136
1,0,65,80,27136,27264
1,0,70,80,27264,27456
1,0,65,80,27648,27776
1,0,64,80,27776,27904
1,0,65,80,27904,28032
1,0,70,80,28032,28160
1,0,69,80,28160,28288
1,0,70,80,28288,28416
1,0,65,80,28416,28544
1,0,64,80,28544,28672
1,0,65,80,28672,28800
1,0,70,80,28800,28928
1,0,69,80,28928,29056
1,0,70,80,29056,29184
1,0,65,80,29184,29312
1,0,64,80,29312,29440
1,0,65,80,29440,29568
1,0,70,80,29568,31872
1,0,67,80,31872,32640
1,0,70,80,31872,32640
1,0,65,80,32640,33024
1,0,69,80,32640,33024
1,0,67,80,33408,34176
1,0,70,80,33408,34176
1,0,65,80,34176,34560
1,0,69,80,34176,34560
2,0,58,80,34944,35712
1,0,67,80,34944,35712
2,0,57,80,35712,36096
1,0,65,80,35712,36096
