# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,9/8
track,channel,pitch,vel,start,end
2,0,55,80,0,576
1,0,67,80,0,384
1,0,66,80,384,576
1,0,67,80,576,960
2,0,54,80,960,1152
1,0,69,80,960,1152
2,0,55,80,1152,1536
1,0,71,80,1152,1344
1,0,74,80,1344,1536
2,0,52,80,1536,1728
1,0,73,80,1536,1728
2,0,54,80,1728,2304
1,0,74,80,1728,2112
1,0,69,80,2112,2304
1,0,74,80,2304,2688
2,0,57,80,2688,2880
1,0,76,80,2688,2858
1,0,76,80,2858,2879
2,0,50,80,2880,3264
1,0,78,80,2880,2976
1,0,79,80,2976,3072
1,0,78,80,3072,3168
1,0,76,80,3168,3264
2,0,54,80,3264,3456
1,0,74,80,3264,3456
2,0,52,80,3456,4608
2,0,55,80,3456,3840
1,0,79,80,3456,3648
1,0,83,80,3648,3840
2,0,54,80,3840,4032
1,0,81,80,3840,4032
2,0,55,80,4032,4416
1,0,83,80,4032,4224
1,0,79,80,4224,4416
2,0,57,80,4416,4608
1,0,78,80,4416,4608
2,0,52,80,4608,4992
2,0,59,80,4608,4800
1,0,79,80,4608,5184
2,0,62,80,4800,4992
2,0,57,80,4992,5184
2,0,61,80,4992,5184
2,0,50,80,5184,5760
2,0,62,80,5184,5568
1,0,79,80,5184,5376
1,0,78,80,5376,5568
2,0,57,80,5568,5760
1,0,76,80,5568,5760
2,0,62,80,5760,6144
1,0,78,80,5760,5952
1,0,79,80,5952,6144
1,0,64,80,6144,6314
1,0,81,80,6144,6336
1,0,64,80,6314,6335
1,0,66,80,6336,6432
1,0,74,80,6336,6912
1,0,67,80,6432,6528
1,0,66,80,6528,6624
1,0,64,80,6624,6720
2,0,60,80,6720,6912
1,0,62,80,6720,6912
2,0,59,80,6912,7488
1,0,67,80,6912,7104
1,0,74,80,6912,7104
1,0,71,80,7104,7296
1,0,79,80,7104,7296
1,0,69,80,7296,7488
1,0,78,80,7296,7488
1,0,71,80,7488,7680
1,0,79,80,7488,7680
1,0,67,80,7680,7872
1,0,83,80,7680,7872
2,0,62,80,7872,8064
1,0,66,80,7872,8064
1,0,81,80,7872,8064
2,0,55,80,8064,8448
1,0,67,80,8064,8640
1,0,83,80,8064,8256
1,0,86,80,8256,8352
1,0,84,80,8352,8448
2,0,59,80,8448,8640
1,0,83,80,8448,8544
1,0,81,80,8544,8640
2,0,64,80,8640,9024
1,0,67,80,8640,8832
1,0,83,80,8640,8832
1,0,66,80,8832,9024
1,0,84,80,8832,8928
1,0,83,80,8928,9024
1,0,64,80,9024,9216
1,0,81,80,9024,9120
1,0,79,80,9120,9216
1,0,66,80,9216,9408
1,0,81,80,9216,9408
1,0,67,80,9408,9600
1,0,83,80,9408,9504
1,0,81,80,9504,9600
2,0,57,80,9600,9792
1,0,69,80,9600,9792
1,0,79,80,9600,9696
1,0,78,80,9696,9792
2,0,59,80,9792,9984
1,0,62,80,9792,10560
1,0,79,80,9792,9984
2,0,57,80,9984,10176
1,0,81,80,9984,10080
1,0,79,80,10080,10176
2,0,59,80,10176,10368
1,0,78,80,10176,10272
1,0,76,80,10272,10368
2,0,60,80,10368,10560
1,0,74,80,10368,10560
2,0,59,80,10560,10752
1,0,67,80,10560,10752
2,0,57,80,10752,10944
1,0,66,80,10752,10944
2,0,59,80,10944,11136
1,0,67,80,10944,11136
1,0,79,80,10944,11136
2,0,62,80,11136,11328
1,0,71,80,11136,11328
2,0,60,80,11328,11520
1,0,69,80,11328,11520
2,0,62,80,11520,11904
1,0,71,80,11520,11712
1,0,78,80,11520,11712
1,0,74,80,11712,11808
1,0,72,80,11808,11904
2,0,50,80,11904,12096
1,0,71,80,11904,12000
1,0,69,80,12000,12096
2,0,55,80,12096,12480
1,0,71,80,12096,12288
1,0,79,80,12096,12288
1,0,72,80,12288,12384
1,0,71,80,12384,12480
2,0,43,80,12480,12672
1,0,69,80,12480,12576
1,0,67,80,12576,12672
2,0,43,80,12672,13056
1,0,69,80,12672,12864
1,0,72,80,12672,12864
1,0,71,80,12864,12960
1,0,69,80,12960,13056
2,0,55,80,13056,13248
1,0,67,80,13056,13152
1,0,66,80,13152,13248
2,0,55,80,13248,13440
1,0,67,80,13248,13440
1,0,71,80,13248,13440
2,0,54,80,13440,13536
1,0,69,80,13440,13536
2,0,52,80,13536,13632
1,0,67,80,13536,13632
2,0,50,80,13632,13728
1,0,66,80,13632,13728
2,0,48,80,13728,13824
1,0,64,80,13728,13824
2,0,47,80,13824,14016
1,0,62,80,13824,14016
2,0,43,80,14016,14208
1,0,71,80,14016,14208
2,0,45,80,14208,14400
1,0,69,80,14208,14400
2,0,47,80,14400,14592
1,0,67,80,14400,14592
2,0,48,80,14592,14784
1,0,69,80,14592,14784
2,0,50,80,14784,14976
1,0,66,80,14784,14976
2,0,43,80,14976,15360
1,0,64,80,14976,15072
1,0,62,80,15072,15168
1,0,61,80,15168,15360
2,0,55,80,15360,15552
1,0,62,80,15360,15508
1,0,62,80,15508,15551
2,0,55,80,15552,15744
1,0,61,80,15552,16128
2,0,54,80,15744,15936
2,0,52,80,15936,16128
2,0,57,80,16128,16512
1,0,61,80,16128,16320
1,0,62,80,16320,16512
2,0,55,80,16512,16704
1,0,64,80,16512,16704
2,0,54,80,16704,16896
2,0,57,80,16704,16896
2,0,55,80,16896,17088
2,0,59,80,16896,17088
