# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,882352
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,192,384
1,0,67,80,192,384
2,0,55,80,384,576
1,0,67,80,384,576
2,0,54,80,576,768
1,0,66,80,576,768
2,0,58,80,768,1152
1,0,70,80,768,1152
2,0,55,80,960,1152
1,0,67,80,960,1152
2,0,55,80,1152,1344
2,0,57,80,1152,1728
1,0,67,80,1152,1344
1,0,69,80,1152,1728
2,0,54,80,1344,1536
1,0,66,80,1344,1536
2,0,58,80,1536,1920
1,0,70,80,1536,1920
2,0,55,80,1728,2112
1,0,67,80,1728,2112
2,0,57,80,1920,2496
1,0,69,80,1920,2496
2,0,54,80,2112,2208
1,0,66,80,2112,2208
2,0,57,80,2208,2304
1,0,69,80,2208,2304
2,0,46,80,2304,2400
2,0,58,80,2304,2400
2,0,51,80,2400,2496
1,0,63,80,2400,2496
2,0,50,80,2496,2592
2,0,55,80,2496,2880
1,0,62,80,2496,2592
1,0,67,80,2496,2880
2,0,51,80,2592,2688
1,0,63,80,2592,2688
2,0,45,80,2688,2784
2,0,57,80,2688,2784
2,0,50,80,2784,2880
1,0,62,80,2784,2880
2,0,48,80,2880,2976
2,0,54,80,2880,2976
1,0,60,80,2880,2976
1,0,66,80,2880,2976
2,0,50,80,2976,3072
2,0,57,80,2976,3072
1,0,62,80,2976,3072
1,0,69,80,2976,3072
2,0,43,80,3072,3168
2,0,46,80,3072,3168
2,0,55,80,3072,3168
2,0,58,80,3072,3168
2,0,48,80,3168,3264
2,0,51,80,3168,3264
1,0,60,80,3168,3264
1,0,63,80,3168,3264
2,0,46,80,3264,3360
2,0,50,80,3264,3360
2,0,58,80,3264,3360
1,0,62,80,3264,3360
2,0,48,80,3360,3456
2,0,51,80,3360,3456
1,0,60,80,3360,3456
1,0,63,80,3360,3456
2,0,42,80,3456,3648
2,0,45,80,3456,3552
2,0,54,80,3456,3648
2,0,57,80,3456,3552
2,0,50,80,3552,3648
1,0,62,80,3552,3648
2,0,48,80,3648,3744
2,0,57,80,3648,3840
1,0,60,80,3648,3744
1,0,69,80,3648,3840
2,0,50,80,3744,3840
1,0,62,80,3744,3840
2,0,43,80,3840,3936
2,0,55,80,3840,3936
2,0,58,80,3840,3936
1,0,70,80,3840,3936
2,0,48,80,3936,4032
1,0,60,80,3936,4032
1,0,63,80,3936,4032
1,0,75,80,3936,4032
2,0,46,80,4032,4128
2,0,58,80,4032,4128
1,0,62,80,4032,4128
1,0,74,80,4032,4128
2,0,48,80,4128,4224
1,0,60,80,4128,4224
1,0,63,80,4128,4224
1,0,75,80,4128,4224
2,0,42,80,4224,4416
2,0,54,80,4224,4416
2,0,57,80,4224,4320
1,0,69,80,4224,4320
1,0,62,80,4320,4416
1,0,74,80,4320,4416
2,0,54,80,4416,4608
1,0,60,80,4416,4512
1,0,66,80,4416,4608
1,0,72,80,4416,4512
1,0,62,80,4512,4608
1,0,74,80,4512,4608
2,0,55,80,4608,4800
2,0,58,80,4608,4704
1,0,67,80,4608,4800
1,0,70,80,4608,4704
1,0,62,80,4704,4800
1,0,74,80,4704,4800
2,0,55,80,4800,4896
2,0,58,80,4800,4992
1,0,67,80,4800,4896
1,0,70,80,4800,4992
2,0,58,80,4896,4992
1,0,70,80,4896,4992
2,0,51,80,4992,5088
1,0,60,80,4992,5184
1,0,63,80,4992,5088
1,0,72,80,4992,5184
1,0,60,80,5088,5184
1,0,72,80,5088,5184
2,0,51,80,5184,5376
2,0,58,80,5184,5280
1,0,63,80,5184,5376
1,0,70,80,5184,5280
1,0,60,80,5280,5376
1,0,72,80,5280,5376
2,0,53,80,5376,5568
2,0,57,80,5376,5472
1,0,65,80,5376,5568
1,0,69,80,5376,5472
1,0,60,80,5472,5568
1,0,72,80,5472,5568
2,0,53,80,5568,5664
2,0,57,80,5568,5760
1,0,65,80,5568,5664
1,0,69,80,5568,5760
2,0,57,80,5664,5760
1,0,69,80,5664,5760
2,0,50,80,5760,5856
2,0,58,80,5760,5952
1,0,62,80,5760,5856
1,0,70,80,5760,5952
2,0,58,80,5856,5952
1,0,70,80,5856,5952
2,0,50,80,5952,6144
2,0,57,80,5952,6048
1,0,62,80,5952,6144
1,0,69,80,5952,6048
2,0,58,80,6048,6144
1,0,70,80,6048,6144
2,0,51,80,6144,6336
2,0,55,80,6144,6240
1,0,63,80,6144,6336
1,0,67,80,6144,6240
2,0,58,80,6240,6336
1,0,70,80,6240,6336
2,0,51,80,6336,6432
2,0,55,80,6336,6528
1,0,63,80,6336,6432
1,0,67,80,6336,6528
2,0,55,80,6432,6528
1,0,67,80,6432,6528
2,0,48,80,6528,6624
2,0,57,80,6528,6720
1,0,60,80,6528,6624
1,0,69,80,6528,6720
2,0,57,80,6624,6720
1,0,69,80,6624,6720
2,0,48,80,6720,6912
2,0,55,80,6720,6816
1,0,60,80,6720,6912
1,0,67,80,6720,6816
2,0,57,80,6816,6912
1,0,69,80,6816,6912
2,0,50,80,6912,7104
2,0,54,80,6912,7008
1,0,62,80,6912,7104
1,0,66,80,6912,7008
2,0,57,80,7008,7104
1,0,69,80,7008,7104
2,0,50,80,7104,7200
2,0,54,80,7104,7296
1,0,62,80,7104,7200
1,0,66,80,7104,7296
2,0,54,80,7200,7296
1,0,66,80,7200,7296
2,0,46,80,7296,7392
2,0,55,80,7296,7488
2,0,58,80,7296,7392
1,0,67,80,7296,7488
2,0,55,80,7392,7488
1,0,67,80,7392,7488
2,0,46,80,7488,7680
2,0,53,80,7488,7584
2,0,58,80,7488,7680
1,0,65,80,7488,7584
2,0,55,80,7584,7680
1,0,67,80,7584,7680
2,0,48,80,7680,8640
2,0,51,80,7680,7776
1,0,60,80,7680,8640
1,0,63,80,7680,7776
2,0,55,80,7776,7872
1,0,67,80,7776,7872
2,0,48,80,7872,7968
1,0,60,80,7872,7968
2,0,51,80,7968,8064
1,0,63,80,7968,8064
2,0,45,80,8064,8160
2,0,57,80,8064,8160
2,0,48,80,8160,8256
1,0,60,80,8160,8256
2,0,42,80,8256,8352
2,0,54,80,8256,8352
2,0,45,80,8352,8448
2,0,57,80,8352,8448
2,0,38,80,8448,8544
2,0,50,80,8448,8544
2,0,50,80,8544,8640
1,0,62,80,8544,8640
2,0,48,80,8640,8832
2,0,52,80,8640,8736
1,0,60,80,8640,8832
1,0,64,80,8640,8736
2,0,54,80,8736,8832
1,0,66,80,8736,8832
2,0,46,80,8832,9024
2,0,55,80,8832,8928
2,0,58,80,8832,9024
1,0,67,80,8832,8928
2,0,54,80,8928,9024
1,0,66,80,8928,9024
2,0,45,80,9024,9216
2,0,55,80,9024,9120
2,0,57,80,9024,9216
1,0,67,80,9024,9120
2,0,57,80,9120,9216
1,0,69,80,9120,9216
2,0,43,80,9216,9408
2,0,55,80,9216,9408
2,0,58,80,9216,9312
1,0,70,80,9216,9312
2,0,57,80,9312,9408
1,0,69,80,9312,9408
2,0,48,80,9408,9600
2,0,55,80,9408,9504
1,0,60,80,9408,9600
1,0,67,80,9408,9504
2,0,57,80,9504,9600
1,0,69,80,9504,9600
2,0,50,80,9600,9792
2,0,50,80,9600,9792
1,0,62,80,9600,9792
1,0,62,80,9600,9792
2,0,38,80,9792,9984
2,0,50,80,9792,9984
2,0,54,80,9792,9984
1,0,66,80,9792,9984
2,0,43,80,9984,10080
2,0,55,80,9984,10368
2,0,55,80,9984,10080
1,0,67,80,9984,10752
1,0,67,80,9984,10368
1,0,79,80,9984,10752
1,0,86,80,9984,10752
2,0,55,80,10080,10176
1,0,67,80,10080,10176
2,0,53,80,10176,10272
1,0,65,80,10176,10272
2,0,55,80,10272,10368
1,0,67,80,10272,10368
2,0,51,80,10368,10464
1,0,63,80,10368,10464
2,0,55,80,10464,10560
1,0,67,80,10464,10560
2,0,48,80,10560,10656
1,0,60,80,10560,10656
2,0,51,80,10656,10752
1,0,63,80,10656,10752
2,0,47,80,10752,10944
2,0,59,80,10752,10944
1,0,67,80,10752,11232
1,0,79,80,10752,11232
1,0,86,80,10752,11232
2,0,55,80,10848,10944
1,0,67,80,10848,10944
2,0,43,80,10944,11136
2,0,53,80,10944,11040
2,0,55,80,10944,11136
1,0,65,80,10944,11040
2,0,55,80,11040,11136
1,0,67,80,11040,11136
2,0,48,80,11136,11328
2,0,51,80,11136,11232
1,0,60,80,11136,11328
1,0,63,80,11136,11232
2,0,55,80,11232,11328
1,0,67,80,11232,11328
1,0,70,80,11232,11328
1,0,82,80,11232,11328
1,0,89,80,11232,11328
2,0,36,80,11328,11520
2,0,48,80,11328,11424
2,0,48,80,11328,11520
1,0,60,80,11328,11424
1,0,69,80,11328,11376
1,0,81,80,11328,11376
1,0,88,80,11328,11376
1,0,70,80,11376,11424
1,0,82,80,11376,11424
1,0,89,80,11376,11424
2,0,51,80,11424,11520
1,0,63,80,11424,11520
1,0,67,80,11424,11520
1,0,79,80,11424,11520
1,0,86,80,11424,11520
2,0,38,80,11520,11616
2,0,45,80,11520,11712
2,0,50,80,11520,11616
2,0,57,80,11520,11712
1,0,66,80,11520,12096
1,0,78,80,11520,12096
1,0,85,80,11520,12096
2,0,50,80,11616,11712
1,0,62,80,11616,11712
2,0,42,80,11712,11904
2,0,48,80,11712,11808
2,0,54,80,11712,11904
1,0,60,80,11712,11808
2,0,50,80,11808,11904
1,0,62,80,11808,11904
2,0,46,80,11904,12000
2,0,50,80,11904,12096
2,0,58,80,11904,12000
