# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,750000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,43,80,0,768
2,0,43,80,0,48
2,0,43,80,0,96
2,0,55,80,0,48
2,0,55,80,0,48
2,0,55,80,0,48
2,0,55,80,0,48
2,0,43,80,48,96
2,0,55,80,48,96
2,0,55,80,48,96
2,0,55,80,48,96
2,0,55,80,48,96
2,0,43,80,96,144
2,0,43,80,96,192
2,0,55,80,96,144
2,0,55,80,96,144
2,0,55,80,96,144
2,0,55,80,96,144
2,0,43,80,144,192
2,0,55,80,144,192
2,0,55,80,144,192
2,0,55,80,144,192
2,0,55,80,144,192
2,0,43,80,192,240
2,0,43,80,192,288
2,0,55,80,192,240
2,0,55,80,192,240
2,0,55,80,192,240
2,0,55,80,192,240
2,0,43,80,240,288
2,0,55,80,240,288
2,0,55,80,240,288
2,0,55,80,240,288
2,0,55,80,240,288
2,0,43,80,288,336
2,0,43,80,288,384
2,0,55,80,288,336
2,0,55,80,288,336
2,0,55,80,288,336
2,0,55,80,288,336
2,0,43,80,336,384
2,0,55,80,336,384
2,0,55,80,336,384
2,0,55,80,336,384
2,0,55,80,336,384
2,0,43,80,384,432
2,0,43,80,384,480
2,0,55,80,384,432
2,0,55,80,384,432
2,0,55,80,384,432
2,0,55,80,384,432
2,0,43,80,432,480
2,0,55,80,432,480
2,0,55,80,432,480
2,0,55,80,432,480
2,0,55,80,432,480
2,0,43,80,480,528
2,0,43,80,480,576
2,0,55,80,480,528
2,0,55,80,480,528
2,0,55,80,480,528
2,0,55,80,480,528
2,0,43,80,528,576
2,0,55,80,528,576
2,0,55,80,528,576
2,0,55,80,528,576
2,0,55,80,528,576
2,0,43,80,576,624
2,0,43,80,576,672
2,0,55,80,576,624
2,0,55,80,576,624
2,0,55,80,576,624
2,0,55,80,576,624
2,0,43,80,624,672
2,0,55,80,624,672
2,0,55,80,624,672
2,0,55,80,624,672
2,0,55,80,624,672
2,0,43,80,672,720
2,0,43,80,672,768
2,0,55,80,672,720
2,0,55,80,672,720
2,0,55,80,672,720
2,0,55,80,672,720
2,0,43,80,720,768
2,0,55,80,720,768
2,0,55,80,720,768
2,0,55,80,720,768
2,0,55,80,720,768
2,0,43,80,768,1536
2,0,43,80,768,816
2,0,43,80,768,864
2,0,55,80,768,816
2,0,55,80,768,816
2,0,55,80,768,816
2,0,55,80,768,816
2,0,43,80,816,864
2,0,55,80,816,864
2,0,55,80,816,864
2,0,55,80,816,864
2,0,55,80,816,864
2,0,43,80,864,912
2,0,43,80,864,960
2,0,55,80,864,912
2,0,55,80,864,912
2,0,55,80,864,912
2,0,55,80,864,912
2,0,43,80,912,960
2,0,55,80,912,960
2,0,55,80,912,960
2,0,55,80,912,960
2,0,55,80,912,960
2,0,43,80,960,1008
2,0,43,80,960,1056
2,0,55,80,960,1008
2,0,55,80,960,1008
2,0,55,80,960,1008
2,0,55,80,960,1008
2,0,43,80,1008,1056
2,0,55,80,1008,1056
2,0,55,80,1008,1056
2,0,55,80,1008,1056
2,0,55,80,1008,1056
2,0,43,80,1056,1104
2,0,43,80,1056,1152
2,0,55,80,1056,1104
2,0,55,80,1056,1104
2,0,55,80,1056,1104
2,0,55,80,1056,1104
2,0,43,80,1104,1152
2,0,55,80,1104,1152
2,0,55,80,1104,1152
2,0,55,80,1104,1152
2,0,55,80,1104,1152
2,0,43,80,1152,1200
2,0,43,80,1152,1248
2,0,55,80,1152,1200
2,0,55,80,1152,1200
2,0,55,80,1152,1200
2,0,55,80,1152,1200
2,0,43,80,1200,1248
2,0,55,80,1200,1248
2,0,55,80,1200,1248
2,0,55,80,1200,1248
2,0,55,80,1200,1248
2,0,43,80,1248,1296
2,0,43,80,1248,1344
2,0,55,80,1248,1296
2,0,55,80,1248,1296
2,0,55,80,1248,1296
2,0,55,80,1248,1296
2,0,43,80,1296,1344
2,0,55,80,1296,1344
2,0,55,80,1296,1344
2,0,55,80,1296,1344
2,0,55,80,1296,1344
2,0,43,80,1344,1392
2,0,43,80,1344,1440
2,0,55,80,1344,1392
2,0,55,80,1344,1392
2,0,55,80,1344,1392
2,0,55,80,1344,1392
2,0,43,80,1392,1440
2,0,55,80,1392,1440
2,0,55,80,1392,1440
2,0,55,80,1392,1440
2,0,55,80,1392,1440
2,0,43,80,1440,1488
2,0,43,80,1440,1536
2,0,55,80,1440,1488
2,0,55,80,1440,1488
2,0,55,80,1440,1488
2,0,55,80,1440,1488
2,0,43,80,1488,1536
2,0,55,80,1488,1536
2,0,55,80,1488,1536
2,0,55,80,1488,1536
2,0,55,80,1488,1536
2,0,43,80,1536,2304
2,0,43,80,1536,1584
2,0,43,80,1536,1632
2,0,55,80,1536,1632
2,0,55,80,1536,1632
2,0,55,80,1536,1584
2,0,55,80,1536,1584
2,0,43,80,1584,1632
2,0,55,80,1584,1632
2,0,55,80,1584,1632
2,0,43,80,1632,1680
2,0,43,80,1632,1728
2,0,55,80,1632,1680
2,0,55,80,1632,1680
1,0,76,80,1632,1680
1,0,79,80,1632,1680
2,0,43,80,1680,1728
2,0,55,80,1680,1728
2,0,55,80,1680,1728
1,0,76,80,1680,1728
1,0,79,80,1680,1728
2,0,43,80,1728,1776
2,0,43,80,1728,1824
2,0,55,80,1728,1776
2,0,55,80,1728,1776
1,0,74,80,1728,1776
1,0,78,80,1728,1776
2,0,43,80,1776,1824
2,0,55,80,1776,1824
2,0,55,80,1776,1824
1,0,74,80,1776,1824
1,0,78,80,1776,1824
2,0,43,80,1824,1872
2,0,43,80,1824,1920
2,0,55,80,1824,1872
2,0,55,80,1824,1872
1,0,72,80,1824,1872
1,0,76,80,1824,1872
2,0,43,80,1872,1920
2,0,55,80,1872,1920
2,0,55,80,1872,1920
1,0,72,80,1872,1920
1,0,76,80,1872,1920
2,0,43,80,1920,1968
2,0,43,80,1920,2016
2,0,55,80,1920,1968
2,0,55,80,1920,1968
1,0,71,80,1920,1968
1,0,74,80,1920,1968
2,0,43,80,1968,2016
2,0,55,80,1968,2016
2,0,55,80,1968,2016
1,0,71,80,1968,2016
1,0,74,80,1968,2016
2,0,43,80,2016,2064
2,0,43,80,2016,2112
2,0,55,80,2016,2064
2,0,55,80,2016,2064
1,0,69,80,2016,2064
1,0,72,80,2016,2064
2,0,43,80,2064,2112
2,0,55,80,2064,2112
2,0,55,80,2064,2112
1,0,69,80,2064,2112
1,0,72,80,2064,2112
2,0,43,80,2112,2160
2,0,43,80,2112,2208
2,0,55,80,2112,2160
2,0,55,80,2112,2160
1,0,67,80,2112,2160
1,0,71,80,2112,2160
2,0,43,80,2160,2208
2,0,55,80,2160,2208
2,0,55,80,2160,2208
1,0,67,80,2160,2208
1,0,71,80,2160,2208
2,0,43,80,2208,2256
2,0,43,80,2208,2304
2,0,55,80,2208,2256
2,0,55,80,2208,2256
1,0,66,80,2208,2256
1,0,69,80,2208,2256
2,0,43,80,2256,2304
2,0,55,80,2256,2304
2,0,55,80,2256,2304
1,0,66,80,2256,2304
1,0,69,80,2256,2304
2,0,43,80,2304,2688
2,0,43,80,2304,2352
2,0,43,80,2304,2400
2,0,55,80,2304,2352
2,0,55,80,2304,2352
1,0,64,80,2304,2352
1,0,67,80,2304,2352
2,0,43,80,2352,2400
2,0,55,80,2352,2400
2,0,55,80,2352,2400
1,0,64,80,2352,2400
1,0,67,80,2352,2400
2,0,43,80,2400,2448
2,0,43,80,2400,2496
2,0,55,80,2400,2448
2,0,55,80,2400,2448
1,0,62,80,2400,2448
1,0,66,80,2400,2448
2,0,43,80,2448,2496
2,0,55,80,2448,2496
2,0,55,80,2448,2496
1,0,62,80,2448,2496
1,0,66,80,2448,2496
2,0,43,80,2496,2544
2,0,43,80,2496,2592
2,0,55,80,2496,2544
2,0,55,80,2496,2544
1,0,60,80,2496,2544
1,0,64,80,2496,2544
2,0,43,80,2544,2592
2,0,55,80,2544,2592
2,0,55,80,2544,2592
1,0,60,80,2544,2592
1,0,64,80,2544,2592
2,0,43,80,2592,2640
2,0,43,80,2592,2688
2,0,55,80,2592,2640
2,0,55,80,2592,2640
2,0,59,80,2592,2640
1,0,62,80,2592,2640
2,0,43,80,2640,2688
2,0,55,80,2640,2688
2,0,55,80,2640,2688
2,0,59,80,2640,2688
1,0,62,80,2640,2688
2,0,45,80,2688,3072
2,0,45,80,2688,2736
2,0,45,80,2688,2784
2,0,57,80,2688,2736
2,0,57,80,2688,2736
2,0,57,80,2688,2736
1,0,60,80,2688,2736
2,0,45,80,2736,2784
2,0,57,80,2736,2784
2,0,57,80,2736,2784
2,0,57,80,2736,2784
1,0,60,80,2736,2784
2,0,45,80,2784,2832
2,0,45,80,2784,2880
2,0,57,80,2784,2832
2,0,57,80,2784,2832
2,0,57,80,2784,2832
1,0,60,80,2784,2832
2,0,45,80,2832,2880
2,0,57,80,2832,2880
2,0,57,80,2832,2880
2,0,57,80,2832,2880
1,0,60,80,2832,2880
2,0,45,80,2880,2928
2,0,45,80,2880,2976
2,0,57,80,2880,2928
2,0,57,80,2880,2928
2,0,57,80,2880,2928
1,0,60,80,2880,2928
2,0,45,80,2928,2976
2,0,57,80,2928,2976
2,0,57,80,2928,2976
2,0,57,80,2928,2976
1,0,60,80,2928,2976
2,0,45,80,2976,3024
2,0,45,80,2976,3072
2,0,57,80,2976,3024
2,0,57,80,2976,3024
2,0,57,80,2976,3024
1,0,60,80,2976,3024
2,0,45,80,3024,3072
2,0,57,80,3024,3072
2,0,57,80,3024,3072
2,0,57,80,3024,3072
1,0,60,80,3024,3072
2,0,45,80,3072,3840
2,0,45,80,3072,3120
2,0,45,80,3072,3168
2,0,57,80,3072,3120
2,0,57,80,3072,3120
2,0,57,80,3072,3120
1,0,60,80,3072,3120
2,0,45,80,3120,3168
2,0,57,80,3120,3168
2,0,57,80,3120,3168
2,0,57,80,3120,3168
1,0,60,80,3120,3168
2,0,45,80,3168,3216
2,0,45,80,3168,3264
2,0,57,80,3168,3216
2,0,57,80,3168,3216
2,0,57,80,3168,3216
1,0,60,80,3168,3216
2,0,45,80,3216,3264
2,0,57,80,3216,3264
2,0,57,80,3216,3264
2,0,57,80,3216,3264
1,0,60,80,3216,3264
2,0,45,80,3264,3312
2,0,45,80,3264,3360
2,0,57,80,3264,3312
2,0,57,80,3264,3312
2,0,57,80,3264,3312
1,0,60,80,3264,3312
2,0,45,80,3312,3360
2,0,57,80,3312,3360
2,0,57,80,3312,3360
2,0,57,80,3312,3360
1,0,60,80,3312,3360
2,0,45,80,3360,3408
2,0,45,80,3360,3456
2,0,57,80,3360,3408
2,0,57,80,3360,3408
2,0,57,80,3360,3408
1,0,60,80,3360,3408
2,0,45,80,3408,3456
2,0,57,80,3408,3456
2,0,57,80,3408,3456
2,0,57,80,3408,3456
1,0,60,80,3408,3456
2,0,45,80,3456,3504
2,0,45,80,3456,3552
2,0,57,80,3456,3504
2,0,57,80,3456,3504
2,0,57,80,3456,3504
1,0,60,80,3456,3504
2,0,45,80,3504,3552
2,0,57,80,3504,3552
2,0,57,80,3504,3552
2,0,57,80,3504,3552
1,0,60,80,3504,3552
2,0,45,80,3552,3600
2,0,45,80,3552,3648
2,0,57,80,3552,3600
2,0,57,80,3552,3600
2,0,57,80,3552,3600
1,0,60,80,3552,3600
2,0,45,80,3600,3648
2,0,57,80,3600,3648
2,0,57,80,3600,3648
2,0,57,80,3600,3648
1,0,60,80,3600,3648
2,0,45,80,3648,3696
2,0,45,80,3648,3744
2,0,57,80,3648,3696
2,0,57,80,3648,3696
