# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,480
1,0,60,80,0,480
1,0,60,80,480,720
1,0,60,80,480,720
1,0,65,80,720,960
1,0,65,80,720,960
1,0,67,80,960,1200
1,0,67,80,960,1200
1,0,69,80,1200,1440
1,0,69,80,1200,1440
2,0,52,80,1440,1920
1,0,60,80,1440,1920
1,0,67,80,1440,1920
1,0,70,80,1440,1920
1,0,70,80,1440,1920
2,0,53,80,1920,2160
1,0,60,80,1920,2160
1,0,65,80,1920,2160
1,0,69,80,1920,2160
1,0,69,80,1920,2160
2,0,48,80,2160,2640
1,0,60,80,2160,2640
1,0,64,80,2160,2640
1,0,67,80,2160,2640
1,0,67,80,2160,2640
1,0,69,80,2160,2220
1,0,69,80,2160,2220
2,0,53,80,2640,2880
1,0,65,80,2640,2880
1,0,65,80,2640,2880
1,0,60,80,2880,3360
1,0,60,80,2880,3360
1,0,60,80,3360,3600
1,0,60,80,3360,3600
1,0,65,80,3600,3840
1,0,65,80,3600,3840
1,0,67,80,3840,4080
1,0,67,80,3840,4080
1,0,69,80,4080,4320
1,0,69,80,4080,4320
2,0,52,80,4320,4800
1,0,60,80,4320,4800
1,0,67,80,4320,4800
1,0,70,80,4320,4800
1,0,70,80,4320,4800
2,0,53,80,4800,5040
1,0,60,80,4800,5040
1,0,65,80,4800,5040
1,0,69,80,4800,5040
1,0,69,80,4800,5040
2,0,48,80,5040,5520
1,0,60,80,5040,5520
1,0,64,80,5040,5520
1,0,67,80,5040,5520
1,0,67,80,5040,5520
1,0,69,80,5040,5100
1,0,69,80,5040,5100
2,0,53,80,5520,5760
1,0,65,80,5520,5760
1,0,65,80,5520,5760
2,0,53,80,5760,6240
1,0,69,80,6000,6240
1,0,69,80,6000,6240
2,0,55,80,6240,6480
1,0,70,80,6240,6480
1,0,70,80,6240,6480
2,0,57,80,6480,6720
1,0,72,80,6480,6720
1,0,72,80,6480,6720
2,0,58,80,6720,6960
1,0,74,80,6720,6960
1,0,74,80,6720,6960
1,0,60,80,6960,7200
1,0,76,80,6960,7200
1,0,76,80,6960,7200
1,0,62,80,7200,7680
1,0,65,80,7200,7920
1,0,77,80,7200,7680
1,0,77,80,7200,7680
1,0,60,80,7680,7920
1,0,76,80,7680,7920
1,0,76,80,7680,7920
2,0,58,80,7920,8400
1,0,65,80,7920,8640
1,0,74,80,7920,8400
1,0,74,80,7920,8400
1,0,76,80,7920,7980
1,0,76,80,7920,7980
2,0,57,80,8400,8640
1,0,72,80,8400,8640
1,0,72,80,8400,8640
2,0,55,80,8640,9120
1,0,60,80,8640,9360
1,0,70,80,8640,9120
1,0,70,80,8640,9120
2,0,52,80,9120,9360
1,0,67,80,9120,9360
1,0,67,80,9120,9360
2,0,53,80,9360,9840
1,0,60,80,9360,10080
1,0,69,80,9360,9600
1,0,69,80,9360,9600
1,0,67,80,9600,9840
1,0,67,80,9600,9840
2,0,45,80,9840,10080
1,0,65,80,9840,10080
1,0,65,80,9840,10080
2,0,46,80,10080,10560
1,0,62,80,10080,10560
1,0,65,80,10080,10320
1,0,65,80,10080,10320
1,0,67,80,10320,10560
1,0,67,80,10320,10560
2,0,48,80,10560,10800
2,0,58,80,10560,10800
1,0,60,80,10560,10800
1,0,64,80,10560,10800
1,0,64,80,10560,10800
2,0,41,80,10800,11280
2,0,57,80,10800,11280
1,0,65,80,10800,11280
1,0,65,80,10800,11280
2,0,53,80,11280,11520
2,0,57,80,11280,11520
1,0,65,80,11280,11520
1,0,65,80,11280,11520
