# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,64,80,0,240
1,0,69,80,0,240
1,0,72,80,0,240
1,0,76,80,0,240
1,0,64,80,240,480
1,0,69,80,240,480
1,0,72,80,240,480
1,0,76,80,240,480
1,0,64,80,480,720
1,0,69,80,480,720
1,0,72,80,480,720
1,0,76,80,480,720
1,0,64,80,720,960
1,0,69,80,720,960
1,0,72,80,720,960
1,0,76,80,720,960
1,0,64,80,960,1200
1,0,69,80,960,1200
1,0,72,80,960,1200
1,0,76,80,960,1200
1,0,64,80,1200,1440
1,0,69,80,1200,1440
1,0,72,80,1200,1440
1,0,76,80,1200,1440
1,0,64,80,1440,1680
1,0,69,80,1440,1680
1,0,72,80,1440,1680
1,0,76,80,1440,1680
1,0,64,80,1680,1920
1,0,69,80,1680,1920
1,0,72,80,1680,1920
1,0,76,80,1680,1920
1,0,64,80,1920,2160
1,0,69,80,1920,2160
1,0,72,80,1920,2160
1,0,76,80,1920,2160
1,0,64,80,2160,2400
1,0,69,80,2160,2400
1,0,72,80,2160,2400
1,0,76,80,2160,2400
1,0,64,80,2400,2640
1,0,69,80,2400,2640
1,0,72,80,2400,2640
1,0,76,80,2400,2640
1,0,64,80,2640,2880
1,0,64,80,2640,2880
1,0,69,80,2640,2880
1,0,72,80,2640,2880
1,0,76,80,2640,2880
1,0,64,80,2880,3120
1,0,69,80,2880,3120
1,0,72,80,2880,3120
1,0,76,80,2880,3120
1,0,76,80,2880,3360
1,0,64,80,3120,3360
1,0,69,80,3120,3360
1,0,72,80,3120,3360
1,0,76,80,3120,3360
1,0,64,80,3360,3600
1,0,69,80,3360,3600
1,0,72,80,3360,3600
1,0,72,80,3360,3600
1,0,76,80,3360,3600
1,0,64,80,3600,3840
1,0,69,80,3600,3840
1,0,71,80,3600,3840
1,0,71,80,3600,3840
1,0,76,80,3600,3840
1,0,64,80,3840,4080
1,0,69,80,3840,4080
1,0,71,80,3840,4080
1,0,72,80,3840,4080
1,0,76,80,3840,4080
1,0,64,80,4080,4320
1,0,69,80,4080,4320
1,0,71,80,4080,4320
1,0,74,80,4080,4320
1,0,76,80,4080,4320
1,0,64,80,4320,4560
1,0,69,80,4320,4560
1,0,72,80,4320,4560
1,0,72,80,4320,4800
1,0,76,80,4320,4560
1,0,64,80,4560,4800
1,0,69,80,4560,4800
1,0,72,80,4560,4800
1,0,76,80,4560,4800
1,0,64,80,4800,5040
1,0,69,80,4800,5040
1,0,69,80,4800,5040
1,0,72,80,4800,5040
1,0,76,80,4800,5040
1,0,64,80,5040,5280
1,0,68,80,5040,5280
1,0,69,80,5040,5280
1,0,74,80,5040,5280
1,0,76,80,5040,5280
1,0,64,80,5280,5520
1,0,69,80,5280,5520
1,0,69,80,5280,5520
1,0,74,80,5280,5520
1,0,76,80,5280,5520
1,0,64,80,5520,5760
1,0,69,80,5520,5760
1,0,71,80,5520,5760
1,0,74,80,5520,5760
1,0,76,80,5520,5760
1,0,62,80,5760,6000
1,0,69,80,5760,6000
1,0,69,80,5760,6240
1,0,72,80,5760,6000
1,0,77,80,5760,6000
1,0,62,80,6000,6240
1,0,69,80,6000,6480
1,0,72,80,6000,6240
1,0,77,80,6000,6240
1,0,62,80,6240,6480
1,0,69,80,6240,6480
1,0,72,80,6240,6480
1,0,77,80,6240,6480
1,0,62,80,6480,6720
1,0,65,80,6480,7200
1,0,69,80,6480,6720
1,0,72,80,6480,6720
1,0,77,80,6480,6720
1,0,62,80,6720,6960
1,0,69,80,6720,6960
1,0,72,80,6720,6960
1,0,77,80,6720,6960
1,0,62,80,6960,7200
1,0,69,80,6960,7200
1,0,72,80,6960,7200
1,0,77,80,6960,7200
1,0,62,80,7200,7440
1,0,67,80,7200,7440
1,0,67,80,7200,7680
1,0,71,80,7200,7440
1,0,77,80,7200,7440
1,0,62,80,7440,7680
1,0,67,80,7440,7680
1,0,71,80,7440,7680
1,0,77,80,7440,7680
1,0,62,80,7680,7920
1,0,67,80,7680,7920
1,0,71,80,7680,7920
1,0,77,80,7680,7920
1,0,62,80,7920,8160
1,0,67,80,7920,8160
1,0,71,80,7920,8160
1,0,77,80,7920,8160
1,0,62,80,8160,8400
1,0,67,80,8160,8400
1,0,71,80,8160,8400
1,0,77,80,8160,8400
1,0,62,80,8400,8640
1,0,65,80,8400,8640
1,0,67,80,8400,8640
1,0,71,80,8400,8640
1,0,77,80,8400,8640
1,0,60,80,8640,8880
1,0,64,80,8640,8880
1,0,64,80,8640,9120
1,0,69,80,8640,8880
1,0,76,80,8640,8880
1,0,60,80,8880,9120
1,0,64,80,8880,9120
1,0,69,80,8880,9120
1,0,76,80,8880,9120
1,0,60,80,9120,9360
1,0,64,80,9120,9360
1,0,69,80,9120,9360
1,0,69,80,9120,9360
1,0,76,80,9120,9360
1,0,60,80,9360,9600
1,0,64,80,9360,9600
1,0,69,80,9360,9600
1,0,71,80,9360,9840
1,0,76,80,9360,9600
1,0,60,80,9600,9840
1,0,64,80,9600,9840
1,0,69,80,9600,9840
1,0,76,80,9600,9840
1,0,60,80,9840,10080
1,0,64,80,9840,10080
1,0,69,80,9840,10080
1,0,72,80,9840,10080
1,0,76,80,9840,10080
1,0,62,80,10080,10320
1,0,64,80,10080,10320
1,0,71,80,10080,10320
1,0,71,80,10080,10560
1,0,76,80,10080,10320
1,0,62,80,10320,10560
1,0,64,80,10320,10560
1,0,72,80,10320,10560
1,0,76,80,10320,10560
1,0,62,80,10560,10800
1,0,64,80,10560,10800
1,0,71,80,10560,10800
1,0,71,80,10560,10800
1,0,76,80,10560,10800
1,0,60,80,10800,11040
1,0,64,80,10800,11040
1,0,69,80,10800,11040
1,0,72,80,10800,11040
1,0,76,80,10800,11040
1,0,60,80,11040,11280
1,0,64,80,11040,11280
1,0,69,80,11040,11280
1,0,71,80,11040,11280
1,0,76,80,11040,11280
1,0,60,80,11280,11520
1,0,64,80,11280,11520
1,0,69,80,11280,11520
1,0,69,80,11280,11520
1,0,76,80,11280,11520
2,0,59,80,11520,11760
1,0,64,80,11520,11760
1,0,68,80,11520,11760
1,0,68,80,11520,12000
1,0,71,80,11520,11760
2,0,59,80,11760,12000
1,0,64,80,11760,12000
1,0,68,80,11760,12240
1,0,71,80,11760,12000
2,0,59,80,12000,12240
1,0,64,80,12000,12240
1,0,68,80,12000,12240
1,0,71,80,12000,12240
2,0,57,80,12240,12480
1,0,64,80,12240,12480
1,0,66,80,12240,12480
1,0,71,80,12240,12480
1,0,71,80,12240,12720
2,0,57,80,12480,12720
1,0,64,80,12480,12720
1,0,66,80,12480,12720
1,0,71,80,12480,12960
2,0,57,80,12720,12960
1,0,64,80,12720,12960
1,0,66,80,12720,12960
1,0,71,80,12720,12960
2,0,56,80,12960,13200
1,0,64,80,12960,13200
1,0,64,80,12960,13440
1,0,71,80,12960,13200
2,0,56,80,13200,13440
1,0,64,80,13200,13680
1,0,71,80,13200,13440
2,0,56,80,13440,13680
1,0,64,80,13440,13680
1,0,71,80,13440,13680
1,0,64,80,13680,13920
1,0,68,80,13680,13920
1,0,71,80,13680,13920
1,0,76,80,13680,13920
1,0,64,80,13920,14160
1,0,68,80,13920,14160
1,0,71,80,13920,14160
1,0,76,80,13920,14160
1,0,64,80,14160,14400
1,0,64,80,14160,14400
1,0,68,80,14160,14400
1,0,71,80,14160,14400
1,0,76,80,14160,14400
1,0,62,80,14400,14640
1,0,65,80,14400,14880
1,0,69,80,14400,14640
1,0,72,80,14400,14640
1,0,77,80,14400,14640
1,0,62,80,14640,14880
1,0,69,80,14640,14880
1,0,72,80,14640,14880
1,0,77,80,14640,14880
1,0,62,80,14880,15120
1,0,67,80,14880,15120
1,0,69,80,14880,15120
1,0,72,80,14880,15120
1,0,77,80,14880,15120
1,0,62,80,15120,15360
1,0,69,80,15120,15360
1,0,69,80,15120,15600
1,0,72,80,15120,15360
1,0,77,80,15120,15360
1,0,62,80,15360,15600
1,0,69,80,15360,15600
1,0,72,80,15360,15600
1,0,77,80,15360,15600
1,0,62,80,15600,15840
1,0,69,80,15600,15840
1,0,71,80,15600,15840
1,0,72,80,15600,15840
1,0,77,80,15600,15840
1,0,62,80,15840,16080
1,0,67,80,15840,16080
1,0,71,80,15840,16080
1,0,72,80,15840,16320
1,0,77,80,15840,16080
1,0,62,80,16080,16320
1,0,67,80,16080,16320
1,0,71,80,16080,16320
1,0,77,80,16080,16320
1,0,62,80,16320,16560
1,0,67,80,16320,16560
1,0,71,80,16320,16560
1,0,74,80,16320,16560
1,0,77,80,16320,16560
1,0,62,80,16560,16800
1,0,67,80,16560,16800
1,0,71,80,16560,16800
1,0,76,80,16560,17040
1,0,77,80,16560,16800
1,0,62,80,16800,17040
1,0,67,80,16800,17040
1,0,71,80,16800,17040
1,0,77,80,16800,17040
1,0,62,80,17040,17280
1,0,67,80,17040,17280
1,0,71,80,17040,17280
1,0,77,80,17040,17280
1,0,77,80,17040,17280
1,0,60,80,17280,17520
1,0,68,80,17280,17520
1,0,71,80,17280,17520
1,0,76,80,17280,17520
1,0,76,80,17280,17760
1,0,76,80,17280,18000
1,0,60,80,17520,17760
1,0,68,80,17520,17760
1,0,71,80,17520,17760
1,0,76,80,17520,18000
1,0,60,80,17760,18000
1,0,68,80,17760,18000
1,0,71,80,17760,18000
1,0,76,80,17760,18000
1,0,60,80,18000,18240
1,0,68,80,18000,18240
1,0,71,80,18000,18240
1,0,74,80,18000,18240
1,0,76,80,18000,18240
1,0,60,80,18240,18480
1,0,68,80,18240,18480
1,0,71,80,18240,18480
1,0,72,80,18240,18480
1,0,76,80,18240,18480
1,0,60,80,18480,18720
1,0,68,80,18480,18720
1,0,71,80,18480,18720
1,0,74,80,18480,18720
1,0,76,80,18480,18720
1,0,60,80,18720,18960
1,0,69,80,18720,18960
1,0,72,80,18720,18960
1,0,76,80,18720,18960
1,0,76,80,18720,19200
1,0,60,80,18960,19200
1,0,69,80,18960,19200
1,0,72,80,18960,19200
1,0,76,80,18960,19440
1,0,60,80,19200,19440
1,0,69,80,19200,19440
1,0,72,80,19200,19440
1,0,76,80,19200,19440
1,0,60,80,19440,19680
1,0,69,80,19440,19680
1,0,72,80,19440,19680
1,0,76,80,19440,19680
1,0,76,80,19440,19920
1,0,60,80,19680,19920
1,0,69,80,19680,19920
1,0,72,80,19680,19920
1,0,76,80,19680,19920
1,0,60,80,19920,20160
1,0,69,80,19920,20160
1,0,72,80,19920,20160
1,0,76,80,19920,20160
1,0,62,80,20160,20400
1,0,65,80,20160,20400
1,0,70,80,20160,20400
1,0,77,80,20160,20400
1,0,77,80,20160,20400
1,0,77,80,20160,20400
1,0,62,80,20400,20640
1,0,65,80,20400,20640
1,0,70,80,20400,20640
1,0,74,80,20400,20640
1,0,74,80,20400,20640
1,0,77,80,20400,20640
1,0,62,80,20640,20880
1,0,65,80,20640,20880
1,0,70,80,20640,20880
1,0,70,80,20640,20880
1,0,70,80,20640,20880
1,0,77,80,20640,20880
1,0,63,80,20880,21120
1,0,65,80,20880,21120
1,0,69,80,20880,21120
1,0,69,80,20880,21360
1,0,69,80,20880,21600
1,0,77,80,20880,21120
1,0,63,80,21120,21360
1,0,65,80,21120,21360
1,0,69,80,21120,21600
1,0,77,80,21120,21360
1,0,63,80,21360,21600
1,0,65,80,21360,21600
1,0,69,80,21360,21600
1,0,77,80,21360,21600
1,0,62,80,21600,21840
1,0,65,80,21600,21840
1,0,70,80,21600,21840
1,0,77,80,21600,21840
1,0,77,80,21600,21840
1,0,77,80,21600,21840
1,0,62,80,21840,22080
1,0,65,80,21840,22080
1,0,70,80,21840,22080
1,0,74,80,21840,22080
1,0,74,80,21840,22080
1,0,77,80,21840,22080
1,0,62,80,22080,22320
1,0,65,80,22080,22320
1,0,70,80,22080,22320
1,0,70,80,22080,22320
1,0,70,80,22080,22320
1,0,77,80,22080,22320
1,0,63,80,22320,22560
1,0,69,80,22320,22560
1,0,69,80,22320,22800
1,0,69,80,22320,23040
1,0,72,80,22320,22560
1,0,77,80,22320,22560
1,0,63,80,22560,22800
1,0,69,80,22560,23040
1,0,72,80,22560,22800
1,0,77,80,22560,22800
1,0,63,80,22800,23040
1,0,69,80,22800,23040
1,0,72,80,22800,23040
1,0,77,80,22800,23040
2,0,52,80,23040,24480
2,0,59,80,23040,23760
1,0,68,80,23040,23280
1,0,64,80,23280,23520
1,0,68,80,23280,23520
1,0,68,80,23520,23760
1,0,76,80,23520,23760
1,0,60,80,23760,24480
1,0,69,80,23760,24000
1,0,65,80,24000,24240
1,0,69,80,24000,24240
1,0,71,80,24000,24240
1,0,72,80,24240,24480
1,0,76,80,24240,24480
2,0,52,80,24480,25920
1,0,62,80,24480,25200
1,0,74,80,24480,24720
1,0,74,80,24480,24720
1,0,68,80,24720,24960
1,0,71,80,24720,24960
1,0,72,80,24720,24960
1,0,72,80,24720,24960
1,0,71,80,24960,25200
1,0,71,80,24960,25200
1,0,76,80,24960,25200
1,0,60,80,25200,25920
1,0,69,80,25200,25440
1,0,69,80,25200,25440
1,0,65,80,25440,25680
1,0,67,80,25440,25680
1,0,67,80,25440,25680
1,0,69,80,25440,25680
1,0,65,80,25680,25920
1,0,65,80,25680,25920
1,0,76,80,25680,25920
2,0,52,80,25920,26640
2,0,56,80,25920,26640
1,0,62,80,25920,26160
1,0,64,80,25920,26160
1,0,64,80,25920,26400
1,0,62,80,26160,26400
1,0,64,80,26160,26640
1,0,62,80,26400,26640
1,0,64,80,26400,26880
2,0,54,80,26640,27360
2,0,57,80,26640,27360
1,0,62,80,26640,26880
1,0,64,80,26640,27120
1,0,62,80,26880,27120
1,0,64,80,26880,27360
1,0,62,80,27120,27360
1,0,64,80,27120,27360
2,0,55,80,27360,28080
2,0,58,80,27360,28080
1,0,62,80,27360,27600
1,0,64,80,27360,27600
1,0,64,80,27360,27600
1,0,62,80,27600,27840
1,0,64,80,27600,27840
1,0,62,80,27840,28080
1,0,64,80,27840,28080
2,0,56,80,28080,28560
2,0,59,80,28080,28560
1,0,62,80,28080,28320
1,0,64,80,28080,28320
1,0,62,80,28320,28560
1,0,64,80,28320,28560
1,0,62,80,28560,28800
1,0,64,80,28560,28800
2,0,45,80,28800,29040
1,0,78,80,28800,29040
2,0,52,80,29040,29280
2,0,57,80,29280,29520
1,0,76,80,29280,29520
1,0,61,80,29520,30000
1,0,64,80,29520,29760
1,0,69,80,29520,29760
1,0,73,80,29520,29760
1,0,76,80,30000,30240
2,0,45,80,30240,30480
1,0,78,80,30240,30480
2,0,52,80,30480,30720
2,0,57,80,30720,30960
1,0,76,80,30720,30960
1,0,61,80,30960,31440
