# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,44,80,0,1920
2,0,56,80,0,240
1,0,60,80,0,240
2,0,51,80,240,480
1,0,63,80,240,480
2,0,56,80,480,720
1,0,60,80,480,720
2,0,55,80,720,960
1,0,63,80,720,960
2,0,56,80,960,1200
1,0,60,80,960,1200
2,0,51,80,1200,1440
1,0,63,80,1200,1440
2,0,56,80,1440,1680
1,0,60,80,1440,1680
2,0,55,80,1680,1920
1,0,63,80,1680,1920
1,0,63,80,1680,1920
1,0,63,80,1680,1920
2,0,44,80,1920,3840
2,0,56,80,1920,2160
1,0,60,80,1920,2160
1,0,63,80,1920,2400
1,0,72,80,1920,2400
2,0,51,80,2160,2400
1,0,63,80,2160,2400
2,0,55,80,2400,2640
1,0,61,80,2400,2640
1,0,61,80,2400,2640
1,0,70,80,2400,2640
2,0,51,80,2640,2880
1,0,61,80,2640,2880
1,0,63,80,2640,2880
1,0,70,80,2640,2880
2,0,56,80,2880,3120
1,0,60,80,2880,3120
1,0,60,80,2880,3360
1,0,68,80,2880,3360
2,0,51,80,3120,3360
1,0,63,80,3120,3360
2,0,56,80,3360,3600
1,0,60,80,3360,3600
1,0,60,80,3360,3600
1,0,63,80,3360,3600
2,0,51,80,3600,3840
1,0,60,80,3600,3840
1,0,63,80,3600,3840
1,0,63,80,3600,3840
2,0,44,80,3840,4320
1,0,60,80,3840,4080
1,0,60,80,3840,4320
1,0,68,80,3840,4080
1,0,75,80,3840,4320
2,0,51,80,4080,4320
1,0,63,80,4080,4320
2,0,58,80,4320,4560
1,0,63,80,4320,4560
1,0,67,80,4320,4560
1,0,73,80,4320,4560
2,0,51,80,4560,4800
1,0,63,80,4560,4800
1,0,67,80,4560,4800
1,0,73,80,4560,4800
2,0,56,80,4800,5040
1,0,60,80,4800,5040
1,0,68,80,4800,5040
1,0,72,80,4800,5040
2,0,55,80,5040,5280
1,0,63,80,5040,5280
2,0,56,80,5280,5520
1,0,68,80,5280,5520
1,0,60,80,5520,5760
1,0,66,80,5520,5760
1,0,68,80,5520,5760
1,0,68,80,5520,5760
2,0,49,80,5760,7680
1,0,61,80,5760,6000
1,0,65,80,5760,6000
1,0,73,80,5760,6240
1,0,77,80,5760,6240
2,0,56,80,6000,6240
1,0,68,80,6000,6240
1,0,61,80,6240,6480
1,0,65,80,6240,6480
1,0,73,80,6240,6720
1,0,77,80,6240,6720
2,0,56,80,6480,6720
1,0,68,80,6480,6720
1,0,60,80,6720,6960
1,0,66,80,6720,6960
1,0,68,80,6720,7200
1,0,75,80,6720,7200
2,0,56,80,6960,7200
1,0,68,80,6960,7200
1,0,60,80,7200,7440
1,0,66,80,7200,7440
1,0,68,80,7200,7440
1,0,75,80,7200,7440
2,0,56,80,7440,7680
1,0,66,80,7440,7680
1,0,68,80,7440,7680
1,0,75,80,7440,7680
2,0,49,80,7680,8640
1,0,61,80,7680,7920
1,0,65,80,7680,7920
1,0,65,80,7680,8400
1,0,73,80,7680,8640
2,0,56,80,7920,8160
1,0,68,80,7920,8160
1,0,61,80,8160,8400
1,0,65,80,8160,8640
2,0,56,80,8400,8640
1,0,68,80,8400,8640
1,0,61,80,8640,8880
1,0,65,80,8640,8880
1,0,60,80,8880,9120
1,0,68,80,8880,9120
1,0,61,80,9120,9600
1,0,65,80,9120,9360
1,0,65,80,9360,9600
1,0,68,80,9360,9600
1,0,73,80,9360,9600
2,0,51,80,9600,11520
2,0,58,80,9600,10560
1,0,67,80,9600,10080
1,0,73,80,9600,10080
1,0,63,80,9840,10080
1,0,67,80,10080,10320
1,0,67,80,10080,10320
1,0,73,80,10080,10320
1,0,63,80,10320,10560
1,0,67,80,10320,10560
1,0,72,80,10320,10560
1,0,61,80,10560,11520
1,0,67,80,10560,11040
1,0,70,80,10560,11040
1,0,63,80,10800,11040
1,0,63,80,11040,11280
1,0,63,80,11040,11280
1,0,67,80,11040,11280
1,0,61,80,11280,11520
1,0,63,80,11280,11520
1,0,63,80,11280,11520
2,0,51,80,11520,12960
1,0,60,80,11520,12000
1,0,60,80,11520,12000
1,0,68,80,11520,11760
1,0,75,80,11520,11760
1,0,75,80,11520,12000
1,0,63,80,11760,12000
2,0,58,80,12000,12480
1,0,63,80,12000,12240
1,0,67,80,12000,12240
1,0,73,80,12000,12240
1,0,73,80,12000,12240
1,0,63,80,12240,12480
1,0,67,80,12240,12480
1,0,73,80,12240,12480
2,0,56,80,12480,12720
1,0,68,80,12480,12720
1,0,68,80,12480,12960
1,0,72,80,12480,12720
1,0,72,80,12480,12960
