# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,571428
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,43,80,0,96
1,0,71,80,0,96
2,0,47,80,96,192
1,0,74,80,96,192
2,0,45,80,192,288
1,0,78,80,192,288
2,0,48,80,288,384
1,0,81,80,288,384
2,0,47,80,384,480
1,0,79,80,384,672
2,0,50,80,480,576
2,0,48,80,576,672
2,0,52,80,672,768
1,0,72,80,672,768
2,0,50,80,768,864
1,0,71,80,768,864
2,0,54,80,864,960
1,0,69,80,864,960
2,0,52,80,960,1056
1,0,67,80,960,1056
2,0,55,80,1056,1152
1,0,71,80,1056,1152
2,0,54,80,1152,1248
1,0,69,80,1152,1248
2,0,57,80,1248,1344
1,0,73,80,1248,1344
2,0,55,80,1344,1440
1,0,76,80,1344,1440
2,0,59,80,1440,1536
1,0,79,80,1440,1536
2,0,57,80,1536,1632
1,0,78,80,1536,1824
2,0,61,80,1632,1728
2,0,59,80,1728,1824
2,0,62,80,1824,1920
1,0,71,80,1824,1920
2,0,61,80,1920,2016
1,0,69,80,1920,2016
2,0,64,80,2016,2112
1,0,67,80,2016,2112
2,0,62,80,2112,2208
1,0,66,80,2112,2208
2,0,66,80,2208,2304
1,0,69,80,2208,2304
2,0,64,80,2304,2400
1,0,67,80,2304,2400
2,0,67,80,2400,2496
1,0,71,80,2400,2496
2,0,66,80,2496,2592
1,0,74,80,2496,2592
2,0,69,80,2592,2688
1,0,78,80,2592,2688
2,0,67,80,2688,2784
1,0,76,80,2688,2976
2,0,71,80,2784,2880
2,0,69,80,2880,2976
1,0,69,80,2976,3072
2,0,73,80,2976,3072
1,0,67,80,3072,3168
2,0,71,80,3072,3168
1,0,66,80,3168,3264
2,0,74,80,3168,3264
1,0,64,80,3264,3360
2,0,73,80,3264,3360
1,0,67,80,3360,3456
2,0,76,80,3360,3456
1,0,66,80,3456,3552
2,0,74,80,3456,3552
1,0,64,80,3552,3648
2,0,73,80,3552,3648
1,0,66,80,3648,3744
2,0,74,80,3648,3744
1,0,64,80,3744,3840
2,0,73,80,3744,3840
1,0,66,80,3840,3936
2,0,74,80,3840,4608
1,0,69,80,3936,4032
1,0,74,80,4032,4128
1,0,73,80,4128,4224
1,0,74,80,4224,4320
1,0,78,80,4320,4416
1,0,81,80,4416,4512
1,0,72,80,4512,4608
1,0,71,80,4608,4704
2,0,74,80,4608,4704
2,0,71,80,4704,4800
1,0,79,80,4704,4800
1,0,69,80,4800,4896
2,0,72,80,4800,4896
2,0,69,80,4896,4992
1,0,78,80,4896,4992
1,0,67,80,4992,5088
2,0,71,80,4992,5088
2,0,67,80,5088,5184
1,0,76,80,5088,5184
1,0,65,80,5184,5280
2,0,69,80,5184,5280
2,0,65,80,5280,5376
1,0,74,80,5280,5376
1,0,64,80,5376,5472
2,0,67,80,5376,5472
2,0,64,80,5472,5568
1,0,72,80,5472,5568
1,0,62,80,5568,5664
2,0,65,80,5568,5664
2,0,62,80,5664,5760
