# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,0,240
1,0,60,80,0,240
1,0,69,80,0,240
1,0,69,80,0,240
1,0,60,80,1440,1800
1,0,64,80,1440,1800
1,0,69,80,1440,1920
1,0,69,80,1440,1920
1,0,71,80,1440,1920
2,0,59,80,1800,1920
1,0,62,80,1800,1920
2,0,57,80,1920,2160
1,0,60,80,1920,2160
1,0,69,80,1920,2160
1,0,69,80,1920,2160
1,0,76,80,1920,2160
2,0,55,80,2160,2400
2,0,59,80,2160,2400
1,0,71,80,2160,2400
1,0,71,80,2160,2640
2,0,54,80,2400,2640
2,0,57,80,2400,2640
1,0,71,80,2400,2640
2,0,52,80,2640,2880
2,0,55,80,2640,2880
1,0,76,80,2640,2880
1,0,76,80,2640,2880
2,0,54,80,2880,3120
2,0,57,80,2880,3120
1,0,74,80,2880,3360
1,0,74,80,2880,3360
2,0,55,80,3120,3360
2,0,59,80,3120,3360
2,0,59,80,3360,3600
1,0,62,80,3360,3600
1,0,71,80,3360,3600
1,0,71,80,3360,3600
2,0,59,80,3600,4080
1,0,62,80,3600,4080
1,0,67,80,3600,4080
1,0,67,80,3600,4080
2,0,54,80,4080,4320
2,0,57,80,4080,4320
1,0,74,80,4080,4320
1,0,74,80,4080,4320
2,0,55,80,4320,4560
2,0,59,80,4320,4560
1,0,67,80,4320,4560
1,0,71,80,4320,4560
1,0,71,80,4320,4560
1,0,71,80,4320,4560
1,0,71,80,4320,4560
2,0,59,80,4560,4800
1,0,62,80,4560,4800
1,0,67,80,4560,4800
1,0,67,80,4560,4800
1,0,67,80,4560,4800
2,0,54,80,4800,5040
2,0,57,80,4800,5040
1,0,74,80,4800,5040
1,0,74,80,4800,5040
1,0,74,80,4800,5040
2,0,55,80,5040,5280
2,0,59,80,5040,5280
1,0,71,80,5040,5280
1,0,71,80,5040,5280
1,0,71,80,5040,5280
2,0,59,80,5280,5520
1,0,62,80,5280,5520
1,0,67,80,5280,5520
1,0,67,80,5280,5520
1,0,67,80,5280,5520
2,0,52,80,5520,5760
1,0,76,80,5520,5760
1,0,76,80,5520,5760
2,0,54,80,5760,6240
1,0,66,80,5760,6240
1,0,71,80,5760,6240
1,0,74,80,5760,6240
1,0,74,80,5760,6240
2,0,42,80,6240,6480
1,0,64,80,6240,6480
1,0,70,80,6240,6480
1,0,73,80,6240,6480
1,0,73,80,6240,6480
2,0,47,80,6480,6960
1,0,62,80,6480,6960
1,0,71,80,6480,6960
1,0,71,80,6480,6960
2,0,50,80,6960,7200
1,0,62,80,6960,7200
