# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,0,480
1,0,63,80,0,240
2,0,58,80,240,480
2,0,55,80,480,720
2,0,51,80,720,1200
1,0,63,80,720,960
2,0,58,80,960,1200
2,0,55,80,1200,1440
2,0,51,80,1440,1920
1,0,63,80,1440,1680
2,0,58,80,1680,1920
2,0,55,80,1920,2160
2,0,51,80,2160,2640
1,0,63,80,2160,2400
2,0,58,80,2400,2640
2,0,55,80,2640,2880
2,0,51,80,2880,3360
1,0,63,80,2880,3120
1,0,67,80,2880,3240
2,0,58,80,3120,3360
1,0,70,80,3240,3360
2,0,55,80,3360,3600
1,0,70,80,3360,3600
2,0,51,80,3600,4080
1,0,63,80,3600,3840
1,0,70,80,3600,3960
2,0,58,80,3840,4080
1,0,75,80,3960,4080
2,0,55,80,4080,4320
1,0,75,80,4080,4320
2,0,51,80,4320,4800
1,0,63,80,4320,4560
1,0,70,80,4320,4560
2,0,58,80,4560,4800
1,0,67,80,4560,4800
2,0,55,80,4800,5040
1,0,70,80,4800,5040
2,0,51,80,5040,5520
1,0,63,80,5040,5280
1,0,75,80,5040,5280
2,0,58,80,5280,5520
1,0,70,80,5280,5520
2,0,55,80,5520,5760
1,0,67,80,5520,5760
2,0,51,80,5760,6240
1,0,63,80,5760,6000
1,0,70,80,5760,6120
2,0,58,80,6000,6240
1,0,75,80,6120,6240
2,0,55,80,6240,6480
1,0,75,80,6240,6480
2,0,51,80,6480,6960
1,0,63,80,6480,6720
1,0,75,80,6480,6840
2,0,58,80,6720,6960
1,0,79,80,6840,6960
2,0,55,80,6960,7200
1,0,79,80,6960,7200
2,0,51,80,7200,7680
1,0,63,80,7200,7440
1,0,79,80,7200,7440
2,0,58,80,7440,7680
1,0,75,80,7440,7680
2,0,55,80,7680,7920
1,0,79,80,7680,7920
2,0,51,80,7920,8400
1,0,63,80,7920,8160
1,0,82,80,7920,8160
2,0,58,80,8160,8400
1,0,79,80,8160,8400
2,0,55,80,8400,8640
1,0,75,80,8400,8640
2,0,51,80,8640,9120
1,0,62,80,8640,8880
1,0,70,80,8640,9000
2,0,58,80,8880,9120
1,0,70,80,9000,9120
2,0,56,80,9120,9360
1,0,70,80,9120,9360
2,0,51,80,9360,9840
2,0,55,80,9360,9600
1,0,75,80,9360,9720
2,0,58,80,9600,9840
1,0,75,80,9720,9840
1,0,63,80,9840,10080
1,0,75,80,9840,10080
2,0,51,80,10080,10560
1,0,62,80,10080,10320
1,0,70,80,10080,10440
2,0,58,80,10320,10560
1,0,70,80,10440,10560
2,0,56,80,10560,10800
1,0,70,80,10560,10800
2,0,51,80,10800,11280
2,0,55,80,10800,11040
1,0,75,80,10800,11160
2,0,58,80,11040,11280
1,0,75,80,11160,11280
1,0,63,80,11280,11520
1,0,75,80,11280,11520
2,0,46,80,11520,11880
2,0,58,80,11520,11880
1,0,62,80,11520,11880
1,0,65,80,11520,11880
2,0,46,80,11880,12000
2,0,58,80,11880,12000
1,0,62,80,11880,12000
1,0,65,80,11880,12000
2,0,46,80,12000,12240
2,0,58,80,12000,12240
1,0,62,80,12000,12240
1,0,65,80,12000,12240
2,0,51,80,12240,12600
2,0,58,80,12240,12600
1,0,63,80,12240,12600
1,0,67,80,12240,12600
1,0,70,80,12480,12720
2,0,51,80,12600,12720
2,0,58,80,12600,12720
1,0,63,80,12600,12720
1,0,67,80,12600,12720
2,0,51,80,12720,12960
2,0,58,80,12720,12960
1,0,63,80,12720,12960
1,0,67,80,12720,12960
1,0,70,80,12720,12960
2,0,46,80,12960,13320
2,0,58,80,12960,13320
1,0,62,80,12960,13320
1,0,65,80,12960,13320
1,0,70,80,12960,13440
2,0,46,80,13320,13440
2,0,58,80,13320,13440
1,0,62,80,13320,13440
1,0,65,80,13320,13440
2,0,46,80,13440,13680
2,0,58,80,13440,13680
1,0,62,80,13440,13680
1,0,65,80,13440,13680
1,0,70,80,13440,13680
2,0,51,80,13680,14040
2,0,58,80,13680,14040
1,0,63,80,13680,14040
1,0,67,80,13680,14040
1,0,67,80,13680,14160
2,0,51,80,14040,14160
2,0,58,80,14040,14160
1,0,63,80,14040,14160
1,0,67,80,14040,14160
2,0,51,80,14160,14400
2,0,58,80,14160,14400
1,0,63,80,14160,14400
1,0,67,80,14160,14400
1,0,67,80,14160,14400
2,0,46,80,14400,14760
2,0,58,80,14400,14760
1,0,62,80,14400,14760
1,0,65,80,14400,14760
1,0,70,80,14400,14880
2,0,46,80,14760,14880
2,0,58,80,14760,14880
1,0,62,80,14760,14880
1,0,65,80,14760,14880
2,0,46,80,14880,15120
2,0,58,80,14880,15120
1,0,62,80,14880,15120
1,0,65,80,14880,15120
1,0,70,80,14880,15120
2,0,51,80,15120,15480
2,0,58,80,15120,15480
1,0,63,80,15120,15480
1,0,67,80,15120,15480
1,0,67,80,15120,15600
2,0,51,80,15480,15600
2,0,58,80,15480,15600
1,0,63,80,15480,15600
1,0,67,80,15480,15600
2,0,51,80,15600,15840
2,0,58,80,15600,15840
1,0,63,80,15600,15840
1,0,67,80,15600,15840
2,0,46,80,15840,16200
2,0,58,80,15840,16200
1,0,62,80,15840,16200
1,0,65,80,15840,16200
2,0,46,80,16200,16320
2,0,58,80,16200,16320
1,0,62,80,16200,16320
1,0,65,80,16200,16320
2,0,46,80,16320,16560
2,0,58,80,16320,16560
1,0,62,80,16320,16560
1,0,65,80,16320,16560
2,0,51,80,16560,16920
2,0,58,80,16560,16920
1,0,61,80,16560,16920
1,0,63,80,16560,16920
1,0,67,80,16560,16920
2,0,51,80,16920,17040
2,0,58,80,16920,17040
1,0,61,80,16920,17040
1,0,63,80,16920,17040
1,0,67,80,16920,17040
2,0,51,80,17040,17280
2,0,58,80,17040,17280
1,0,61,80,17040,17280
1,0,63,80,17040,17280
1,0,67,80,17040,17280
1,0,67,80,17040,17280
2,0,44,80,17280,17640
1,0,60,80,17280,17640
1,0,63,80,17280,17640
1,0,66,80,17280,17640
1,0,68,80,17280,17640
1,0,68,80,17280,17760
2,0,44,80,17640,17760
1,0,60,80,17640,17760
1,0,63,80,17640,17760
1,0,66,80,17640,17760
1,0,68,80,17640,17760
2,0,44,80,17760,18000
1,0,60,80,17760,18000
1,0,63,80,17760,18000
1,0,63,80,17760,18000
1,0,66,80,17760,18000
1,0,68,80,17760,18000
2,0,44,80,18000,18360
1,0,60,80,18000,18360
1,0,63,80,18000,18240
1,0,63,80,18000,18360
1,0,66,80,18000,18360
1,0,68,80,18000,18360
1,0,68,80,18240,18480
2,0,44,80,18360,18480
1,0,60,80,18360,18480
1,0,63,80,18360,18480
1,0,66,80,18360,18480
1,0,68,80,18360,18480
2,0,44,80,18480,18720
1,0,60,80,18480,18720
1,0,63,80,18480,18720
1,0,66,80,18480,18720
1,0,68,80,18480,18720
1,0,72,80,18480,18720
2,0,44,80,18720,19080
1,0,60,80,18720,19080
1,0,63,80,18720,19080
1,0,66,80,18720,19080
1,0,68,80,18720,19080
1,0,75,80,18720,19200
2,0,44,80,19080,19200
1,0,60,80,19080,19200
1,0,63,80,19080,19200
1,0,66,80,19080,19200
1,0,68,80,19080,19200
2,0,44,80,19200,19440
1,0,60,80,19200,19440
1,0,63,80,19200,19440
1,0,66,80,19200,19440
1,0,68,80,19200,19440
1,0,72,80,19200,19440
2,0,44,80,19440,19800
1,0,60,80,19440,19800
1,0,63,80,19440,19800
1,0,66,80,19440,19800
1,0,68,80,19440,19800
1,0,68,80,19440,19920
2,0,44,80,19800,19920
1,0,60,80,19800,19920
1,0,63,80,19800,19920
1,0,66,80,19800,19920
1,0,68,80,19800,19920
2,0,44,80,19920,20160
1,0,60,80,19920,20160
1,0,63,80,19920,20160
1,0,66,80,19920,20160
1,0,68,80,19920,20160
1,0,68,80,19920,20160
2,0,37,80,20160,20520
2,0,56,80,20160,20520
1,0,61,80,20160,20520
1,0,65,80,20160,20520
1,0,77,80,20160,21600
2,0,49,80,20520,20640
2,0,56,80,20520,20640
1,0,61,80,20520,20640
1,0,65,80,20520,20640
2,0,49,80,20640,20880
2,0,56,80,20640,20880
1,0,61,80,20640,20880
1,0,65,80,20640,20880
2,0,49,80,20880,21240
2,0,56,80,20880,21240
1,0,61,80,20880,21240
1,0,65,80,20880,21240
2,0,49,80,21240,21360
2,0,56,80,21240,21360
1,0,61,80,21240,21360
1,0,65,80,21240,21360
2,0,49,80,21360,21600
2,0,56,80,21360,21600
1,0,61,80,21360,21600
1,0,65,80,21360,21600
2,0,49,80,21600,21960
2,0,56,80,21600,21960
1,0,61,80,21600,21960
1,0,65,80,21600,21960
1,0,77,80,21600,22320
2,0,49,80,21960,22080
2,0,56,80,21960,22080
1,0,61,80,21960,22080
1,0,65,80,21960,22080
2,0,49,80,22080,22320
2,0,56,80,22080,22320
1,0,61,80,22080,22320
1,0,65,80,22080,22320
2,0,49,80,22320,22680
2,0,56,80,22320,22680
1,0,61,80,22320,22680
1,0,65,80,22320,22680
2,0,49,80,22680,22800
2,0,56,80,22680,22800
1,0,61,80,22680,22800
1,0,65,80,22680,22800
2,0,49,80,22800,23040
2,0,56,80,22800,23040
1,0,61,80,22800,23040
1,0,65,80,22800,23040
2,0,48,80,23040,23400
2,0,57,80,23040,23400
1,0,63,80,23040,23400
1,0,65,80,23040,23400
2,0,48,80,23400,23520
2,0,57,80,23400,23520
1,0,63,80,23400,23520
1,0,65,80,23400,23520
2,0,48,80,23520,23760
2,0,57,80,23520,23760
1,0,63,80,23520,23760
