# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,43,80,0,240
2,0,50,80,0,240
2,0,55,80,0,240
1,0,62,80,0,240
1,0,71,80,0,240
1,0,74,80,0,240
2,0,42,80,1440,1680
1,0,62,80,1440,1680
1,0,72,80,1440,1680
1,0,74,80,1440,1680
2,0,57,80,1680,1920
2,0,50,80,1920,2160
1,0,62,80,1920,2160
1,0,72,80,1920,2160
1,0,74,80,1920,2160
2,0,42,80,2160,2400
1,0,62,80,2160,2400
1,0,72,80,2160,2400
1,0,74,80,2160,2400
2,0,57,80,2400,2640
2,0,50,80,2640,2880
1,0,62,80,2640,2880
1,0,72,80,2640,2880
1,0,74,80,2640,2880
2,0,43,80,2880,3120
1,0,62,80,2880,3600
1,0,71,80,2880,3240
1,0,74,80,2880,3600
2,0,55,80,3120,3360
1,0,69,80,3240,3360
2,0,50,80,3360,3600
1,0,67,80,3360,3480
1,0,69,80,3480,3600
2,0,43,80,3600,3840
1,0,67,80,3600,3840
1,0,71,80,3600,3840
1,0,79,80,3600,3840
2,0,55,80,3840,4080
2,0,50,80,4080,4320
1,0,62,80,4080,4320
1,0,71,80,4080,4320
1,0,74,80,4080,4320
2,0,42,80,4320,4560
1,0,62,80,4320,4560
1,0,72,80,4320,4560
1,0,74,80,4320,4560
2,0,57,80,4560,4800
2,0,50,80,4800,5040
1,0,62,80,4800,5040
1,0,72,80,4800,5040
1,0,74,80,4800,5040
2,0,42,80,5040,5280
1,0,62,80,5040,5280
1,0,72,80,5040,5280
1,0,74,80,5040,5280
2,0,57,80,5280,5520
2,0,50,80,5520,5760
1,0,62,80,5520,5760
1,0,72,80,5520,5760
1,0,74,80,5520,5760
2,0,43,80,5760,6000
1,0,62,80,5760,6480
1,0,71,80,5760,6120
1,0,74,80,5760,6480
2,0,55,80,6000,6240
1,0,69,80,6120,6240
2,0,50,80,6240,6480
1,0,67,80,6240,6360
1,0,69,80,6360,6480
2,0,43,80,6480,6720
1,0,67,80,6480,6720
1,0,71,80,6480,6720
1,0,79,80,6480,6720
2,0,55,80,6720,6960
2,0,59,80,6960,7200
1,0,63,80,6960,7200
1,0,69,80,6960,7200
1,0,71,80,6960,7200
1,0,78,80,6960,7200
2,0,52,80,7200,7440
2,0,59,80,7200,7440
1,0,62,80,7200,7440
1,0,64,80,7200,7680
1,0,68,80,7200,7440
1,0,69,80,7200,7680
1,0,71,80,7200,7440
1,0,76,80,7200,7440
2,0,52,80,7680,7920
2,0,56,80,7680,7920
1,0,60,80,7680,7920
1,0,64,80,7680,7920
1,0,66,80,7680,7920
1,0,71,80,7680,7920
1,0,74,80,7680,7920
2,0,45,80,7920,8400
2,0,52,80,7920,8400
2,0,57,80,7920,8400
1,0,74,80,7920,8280
1,0,72,80,8280,8400
2,0,38,80,8400,8640
2,0,50,80,8400,8640
1,0,69,80,8400,8520
1,0,71,80,8520,8640
2,0,43,80,8640,8880
2,0,59,80,8640,9120
1,0,67,80,8640,9120
2,0,55,80,8880,9120
2,0,50,80,9120,9360
2,0,43,80,9360,9600
1,0,62,80,9360,9840
1,0,71,80,9360,9840
2,0,55,80,9600,9840
2,0,50,80,9840,10080
2,0,43,80,10080,10320
2,0,59,80,10080,10560
1,0,67,80,10080,10560
2,0,55,80,10320,10560
2,0,50,80,10560,10800
2,0,43,80,10800,11040
2,0,59,80,10800,11280
1,0,67,80,10800,11280
2,0,55,80,11040,11280
2,0,50,80,11280,11520
2,0,43,80,11520,11760
2,0,59,80,11520,12000
1,0,67,80,11520,12000
2,0,55,80,11760,12000
2,0,50,80,12000,12240
2,0,43,80,12240,12480
2,0,55,80,12480,12720
2,0,50,80,12720,12960
1,0,62,80,12720,12960
1,0,62,80,12720,12960
2,0,43,80,12960,13440
2,0,55,80,12960,13440
2,0,59,80,12960,13200
1,0,67,80,12960,13200
1,0,67,80,12960,13440
1,0,71,80,12960,13440
1,0,62,80,13200,13440
2,0,43,80,13440,13680
2,0,55,80,13440,13680
2,0,59,80,13440,13680
1,0,67,80,13440,13680
1,0,67,80,13440,13680
1,0,71,80,13440,13680
2,0,43,80,13680,14160
2,0,55,80,13680,14160
2,0,59,80,13680,13920
1,0,65,80,13680,13920
1,0,68,80,13680,14160
1,0,71,80,13680,14040
1,0,62,80,13920,14160
1,0,72,80,14040,14160
2,0,43,80,14160,14400
2,0,55,80,14160,14400
2,0,59,80,14160,14400
1,0,65,80,14160,14400
1,0,67,80,14160,14400
1,0,74,80,14160,14400
2,0,36,80,14400,15120
2,0,48,80,14400,15120
1,0,60,80,14400,14640
1,0,63,80,14400,14640
1,0,67,80,14400,15120
1,0,75,80,14400,15120
2,0,55,80,14640,14880
1,0,60,80,14880,15120
1,0,63,80,14880,15120
2,0,39,80,15120,15840
2,0,51,80,15120,15840
1,0,60,80,15120,15360
1,0,63,80,15120,15600
1,0,67,80,15120,15360
1,0,72,80,15120,15600
2,0,55,80,15360,15600
1,0,60,80,15600,15840
1,0,67,80,15600,15840
1,0,67,80,15600,15840
1,0,72,80,15600,15840
2,0,38,80,15840,16320
2,0,50,80,15840,16320
2,0,59,80,15840,16080
1,0,67,80,15840,16080
1,0,67,80,15840,16200
1,0,71,80,15840,16200
1,0,62,80,16080,16320
1,0,66,80,16200,16320
1,0,69,80,16200,16320
2,0,38,80,16320,16560
2,0,50,80,16320,16560
2,0,59,80,16320,16560
1,0,67,80,16320,16560
1,0,67,80,16320,16560
1,0,71,80,16320,16560
2,0,50,80,16560,17040
2,0,57,80,16560,17040
1,0,60,80,16560,16800
1,0,66,80,16560,16800
1,0,66,80,16560,16920
1,0,74,80,16560,16920
1,0,62,80,16800,17040
1,0,69,80,16920,17040
1,0,72,80,16920,17040
2,0,50,80,17040,17280
2,0,57,80,17040,17280
1,0,60,80,17040,17280
1,0,66,80,17040,17280
1,0,68,80,17040,17160
1,0,71,80,17040,17160
1,0,69,80,17160,17280
1,0,72,80,17160,17280
2,0,43,80,17280,17760
2,0,55,80,17280,17760
2,0,59,80,17280,17520
1,0,67,80,17280,17520
1,0,67,80,17280,17520
1,0,67,80,17280,18000
1,0,71,80,17280,17760
1,0,66,80,17520,18000
1,0,71,80,17520,18000
2,0,55,80,17760,18000
2,0,59,80,17760,18000
1,0,76,80,17760,17880
1,0,74,80,17880,18000
2,0,50,80,18000,18480
2,0,57,80,18000,18480
1,0,66,80,18000,18240
1,0,74,80,18000,18360
1,0,72,80,18360,18480
2,0,50,80,18480,18720
1,0,60,80,18480,18720
1,0,62,80,18480,18720
1,0,62,80,18480,18720
1,0,71,80,18480,18600
1,0,69,80,18600,18720
2,0,43,80,18720,19200
2,0,55,80,18720,19200
2,0,59,80,18720,18960
1,0,67,80,18720,18960
1,0,67,80,18720,19200
1,0,71,80,18720,19200
1,0,62,80,18960,19200
2,0,43,80,19200,19440
2,0,55,80,19200,19440
2,0,59,80,19200,19440
1,0,67,80,19200,19440
1,0,67,80,19200,19440
1,0,71,80,19200,19440
2,0,43,80,19440,19920
2,0,55,80,19440,19920
2,0,59,80,19440,19680
1,0,65,80,19440,19680
1,0,68,80,19440,19920
1,0,71,80,19440,19800
1,0,62,80,19680,19920
1,0,72,80,19800,19920
2,0,43,80,19920,20160
2,0,55,80,19920,20160
2,0,59,80,19920,20160
1,0,65,80,19920,20160
1,0,67,80,19920,20160
1,0,74,80,19920,20160
2,0,44,80,20160,20880
2,0,56,80,20160,20880
2,0,59,80,20160,20400
1,0,65,80,20160,20400
1,0,65,80,20160,20880
1,0,74,80,20160,20880
1,0,62,80,20400,20640
2,0,59,80,20640,20880
1,0,65,80,20640,20880
2,0,44,80,20880,21360
2,0,56,80,20880,21360
1,0,60,80,20880,21120
1,0,64,80,20880,21120
1,0,64,80,20880,21360
1,0,72,80,20880,21360
2,0,57,80,21120,21360
2,0,38,80,21360,21600
2,0,50,80,21360,21600
2,0,57,80,21360,21600
2,0,59,80,21360,21600
1,0,65,80,21360,21600
1,0,65,80,21360,21600
1,0,71,80,21360,21600
2,0,40,80,21600,22080
2,0,52,80,21600,22080
1,0,60,80,21600,21840
1,0,64,80,21600,21840
1,0,64,80,21600,22080
1,0,69,80,21600,21960
2,0,57,80,21840,22080
1,0,71,80,21960,22080
2,0,40,80,22080,22320
2,0,52,80,22080,22320
1,0,60,80,22080,22320
1,0,64,80,22080,22320
1,0,64,80,22080,22320
1,0,69,80,22080,22200
1,0,71,80,22200,22320
2,0,40,80,22320,22800
2,0,52,80,22320,22800
1,0,62,80,22320,22560
1,0,64,80,22320,22560
1,0,68,80,22320,22800
1,0,72,80,22320,22680
2,0,59,80,22560,22800
1,0,71,80,22680,22800
2,0,40,80,22800,23040
2,0,52,80,22800,23040
1,0,62,80,22800,23040
1,0,64,80,22800,23040
1,0,68,80,22800,23040
1,0,72,80,22800,22920
1,0,71,80,22920,23040
2,0,45,80,23040,23520
2,0,57,80,23040,23520
1,0,60,80,23040,23280
1,0,64,80,23040,23280
1,0,69,80,23040,23520
1,0,69,80,23040,23520
1,0,69,80,23280,23520
2,0,52,80,23520,23760
1,0,62,80,23520,23760
1,0,68,80,23520,23640
1,0,72,80,23520,23640
1,0,71,80,23640,23760
2,0,57,80,23760,24000
1,0,60,80,23760,24000
1,0,69,80,23760,24000
2,0,45,80,24240,24480
2,0,52,80,24240,24480
2,0,57,80,24240,24480
1,0,64,80,24240,24480
1,0,72,80,24240,24480
1,0,76,80,24240,24480
2,0,44,80,24480,24720
1,0,64,80,24480,24720
1,0,74,80,24480,24720
1,0,76,80,24480,24720
2,0,59,80,24720,24960
2,0,52,80,24960,25200
1,0,64,80,24960,25200
1,0,74,80,24960,25200
1,0,76,80,24960,25200
2,0,44,80,25200,25440
1,0,64,80,25200,25440
1,0,74,80,25200,25440
1,0,76,80,25200,25440
2,0,59,80,25440,25680
2,0,52,80,25680,25920
1,0,64,80,25680,25920
1,0,74,80,25680,25920
1,0,76,80,25680,25920
2,0,45,80,25920,26160
1,0,64,80,25920,26640
1,0,72,80,25920,26280
1,0,76,80,25920,26640
2,0,57,80,26160,26400
1,0,71,80,26280,26400
2,0,52,80,26400,26640
1,0,69,80,26400,26520
1,0,71,80,26520,26640
2,0,45,80,26640,26880
1,0,69,80,26640,26880
1,0,72,80,26640,26880
1,0,81,80,26640,26880
2,0,57,80,26880,27120
2,0,49,80,27120,27360
1,0,69,80,27120,27360
1,0,76,80,27120,27360
1,0,79,80,27120,27360
2,0,50,80,27360,27600
1,0,64,80,27360,27840
1,0,68,80,27360,27840
1,0,69,80,27360,27600
1,0,74,80,27360,27600
1,0,77,80,27360,27600
2,0,38,80,27840,28080
2,0,50,80,27840,28080
1,0,64,80,27840,28080
1,0,66,80,27840,28080
1,0,68,80,27840,28080
1,0,69,80,27840,28080
1,0,74,80,27840,28080
2,0,40,80,28080,28560
2,0,52,80,28080,28560
1,0,74,80,28080,28440
1,0,72,80,28440,28560
2,0,52,80,28560,28800
1,0,62,80,28560,28800
1,0,71,80,28560,28680
1,0,72,80,28680,28800
2,0,57,80,28800,29040
1,0,60,80,28800,29040
1,0,64,80,28800,29040
1,0,69,80,28800,29040
2,0,57,80,29040,29280
1,0,60,80,29040,29280
1,0,64,80,29040,29280
1,0,69,80,29040,29280
2,0,57,80,29280,29520
1,0,60,80,29280,29520
1,0,64,80,29280,29520
1,0,69,80,29280,29520
2,0,45,80,29520,29760
2,0,52,80,29520,29760
1,0,60,80,29520,29760
1,0,69,80,29520,29760
2,0,45,80,29760,30000
2,0,52,80,29760,30000
1,0,60,80,29760,30000
1,0,69,80,29760,30000
2,0,45,80,30000,30240
2,0,52,80,30000,30240
1,0,60,80,30000,30240
1,0,69,80,30000,30240
1,0,69,80,30000,30240
1,0,69,80,30000,30240
2,0,45,80,30240,30480
2,0,57,80,30240,30480
1,0,61,80,30240,30480
1,0,64,80,30240,30480
1,0,67,80,30240,30480
1,0,69,80,30240,30720
1,0,73,80,30240,30720
2,0,45,80,30480,30720
2,0,57,80,30480,30720
1,0,61,80,30480,30720
1,0,64,80,30480,30720
1,0,67,80,30480,30720
2,0,45,80,30720,30960
2,0,57,80,30720,30960
1,0,61,80,30720,30960
1,0,64,80,30720,30960
1,0,67,80,30720,30960
1,0,69,80,30720,30960
1,0,73,80,30720,30960
2,0,45,80,30960,31200
2,0,57,80,30960,31200
1,0,61,80,30960,31200
1,0,64,80,30960,31200
1,0,67,80,30960,31200
1,0,70,80,30960,31440
1,0,73,80,30960,31320
2,0,45,80,31200,31440
2,0,57,80,31200,31440
1,0,61,80,31200,31440
1,0,64,80,31200,31440
1,0,67,80,31200,31440
1,0,74,80,31320,31440
2,0,45,80,31440,31680
2,0,57,80,31440,31680
1,0,61,80,31440,31680
1,0,64,80,31440,31680
1,0,67,80,31440,31680
1,0,69,80,31440,31680
1,0,76,80,31440,31680
2,0,38,80,31680,31920
2,0,50,80,31680,31920
2,0,57,80,31680,31920
1,0,62,80,31680,31920
1,0,65,80,31680,31920
1,0,69,80,31680,32400
1,0,77,80,31680,32400
2,0,38,80,31920,32160
2,0,50,80,31920,32160
2,0,57,80,31920,32160
1,0,62,80,31920,32160
1,0,65,80,31920,32160
2,0,38,80,32160,32400
2,0,50,80,32160,32400
2,0,57,80,32160,32400
1,0,62,80,32160,32400
1,0,65,80,32160,32400
2,0,41,80,32400,32640
2,0,53,80,32400,32640
2,0,57,80,32400,32640
1,0,62,80,32400,32640
1,0,65,80,32400,32640
1,0,65,80,32400,32880
1,0,74,80,32400,32880
2,0,41,80,32640,32880
2,0,53,80,32640,32880
2,0,57,80,32640,32880
1,0,62,80,32640,32880
1,0,65,80,32640,32880
2,0,41,80,32880,33120
2,0,53,80,32880,33120
2,0,57,80,32880,33120
1,0,62,80,32880,33120
1,0,65,80,32880,33120
1,0,69,80,32880,33120
1,0,74,80,32880,33120
2,0,33,80,33120,33360
2,0,41,80,33120,33360
2,0,45,80,33120,33360
2,0,53,80,33120,33360
2,0,57,80,33120,33360
1,0,60,80,33120,33360
1,0,63,80,33120,33360
1,0,65,80,33120,33360
1,0,72,80,33120,33480
1,0,75,80,33120,33480
2,0,33,80,33360,33600
2,0,41,80,33360,33600
2,0,45,80,33360,33600
2,0,53,80,33360,33600
2,0,57,80,33360,33600
1,0,60,80,33360,33600
1,0,63,80,33360,33600
1,0,65,80,33360,33600
1,0,71,80,33480,33600
1,0,74,80,33480,33600
2,0,33,80,33600,33840
2,0,41,80,33600,33840
2,0,45,80,33600,33840
2,0,53,80,33600,33840
2,0,57,80,33600,33840
1,0,60,80,33600,33840
1,0,63,80,33600,33840
1,0,65,80,33600,33840
1,0,72,80,33600,33840
1,0,75,80,33600,33840
2,0,53,80,33840,34080
1,0,60,80,33840,34080
1,0,63,80,33840,34080
1,0,65,80,33840,34080
1,0,72,80,33840,34200
1,0,77,80,33840,34200
2,0,53,80,34080,34320
1,0,60,80,34080,34320
1,0,63,80,34080,34320
1,0,65,80,34080,34320
1,0,72,80,34200,34320
1,0,75,80,34200,34320
2,0,53,80,34320,34560
1,0,60,80,34320,34560
