# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,394736
# meta,0,0,time_signature,3/2
track,channel,pitch,vel,start,end
2,0,31,80,0,768
2,0,43,80,0,768
1,0,67,80,384,576
1,0,91,80,384,576
1,0,69,80,576,768
1,0,93,80,576,768
2,0,43,80,768,1536
2,0,55,80,768,1536
1,0,71,80,768,960
1,0,95,80,768,960
1,0,67,80,960,1152
1,0,91,80,960,1152
1,0,66,80,1152,1344
1,0,90,80,1152,1344
1,0,67,80,1344,1536
1,0,91,80,1344,1536
2,0,45,80,1536,2304
2,0,57,80,1536,2304
1,0,72,80,1536,1728
1,0,96,80,1536,1728
1,0,67,80,1728,1920
1,0,91,80,1728,1920
1,0,66,80,1920,2112
1,0,90,80,1920,2112
1,0,67,80,2112,2304
1,0,91,80,2112,2304
2,0,47,80,2304,3072
2,0,59,80,2304,3072
1,0,74,80,2304,2496
1,0,98,80,2304,2496
1,0,72,80,2496,2688
1,0,96,80,2496,2688
1,0,71,80,2688,2880
1,0,95,80,2688,2880
1,0,69,80,2880,3072
1,0,93,80,2880,3072
1,0,67,80,3072,3264
1,0,91,80,3072,3264
1,0,66,80,3264,3456
1,0,90,80,3264,3456
2,0,35,80,3456,3840
2,0,47,80,3456,3840
1,0,64,80,3456,3648
1,0,88,80,3456,3648
1,0,62,80,3648,3840
1,0,86,80,3648,3840
2,0,36,80,3840,4224
2,0,48,80,3840,4224
1,0,64,80,3840,4032
1,0,88,80,3840,4032
1,0,67,80,4032,4224
1,0,91,80,4032,4224
2,0,38,80,4224,4608
2,0,50,80,4224,4608
1,0,72,80,4224,4416
1,0,96,80,4224,4416
1,0,66,80,4416,4608
1,0,90,80,4416,4608
2,0,40,80,4608,4992
2,0,52,80,4608,4992
1,0,67,80,4608,4800
1,0,91,80,4608,4800
1,0,69,80,4800,4992
1,0,93,80,4800,4992
2,0,35,80,4992,5376
2,0,47,80,4992,5376
1,0,71,80,4992,5184
1,0,95,80,4992,5184
1,0,62,80,5184,5376
1,0,86,80,5184,5376
2,0,36,80,5376,5760
2,0,48,80,5376,5760
1,0,64,80,5376,5568
1,0,88,80,5376,5568
1,0,71,80,5568,5760
1,0,95,80,5568,5760
2,0,33,80,5760,6144
2,0,45,80,5760,6144
1,0,69,80,5760,5952
1,0,93,80,5760,5952
1,0,67,80,5952,6144
1,0,91,80,5952,6144
2,0,38,80,6144,6528
2,0,50,80,6144,6528
1,0,66,80,6144,6336
1,0,90,80,6144,6336
1,0,76,80,6336,6528
1,0,100,80,6336,6528
2,0,26,80,6528,6912
2,0,38,80,6528,6912
1,0,74,80,6528,6720
1,0,98,80,6528,6720
1,0,72,80,6720,6912
1,0,96,80,6720,6912
2,0,31,80,6912,7680
2,0,43,80,6912,7680
1,0,71,80,6912,7104
1,0,95,80,6912,7104
1,0,69,80,7104,7296
1,0,93,80,7104,7296
1,0,62,80,7296,7488
1,0,71,80,7296,7488
1,0,86,80,7296,7488
1,0,95,80,7296,7488
1,0,64,80,7488,7680
1,0,73,80,7488,7680
1,0,88,80,7488,7680
1,0,97,80,7488,7680
2,0,38,80,7680,8448
2,0,50,80,7680,8448
1,0,66,80,7680,7872
1,0,74,80,7680,9408
1,0,90,80,7680,7872
1,0,98,80,7680,9408
1,0,62,80,7872,8064
1,0,86,80,7872,8064
1,0,61,80,8064,8256
1,0,85,80,8064,8256
1,0,62,80,8256,8448
1,0,86,80,8256,8448
2,0,40,80,8448,9216
2,0,52,80,8448,9216
1,0,67,80,8448,8640
1,0,91,80,8448,8640
1,0,62,80,8640,8832
1,0,86,80,8640,8832
1,0,61,80,8832,9024
1,0,85,80,8832,9024
1,0,62,80,9024,9216
1,0,86,80,9024,9216
2,0,42,80,9216,9984
2,0,54,80,9216,9984
1,0,69,80,9216,9408
1,0,93,80,9216,9408
1,0,67,80,9408,9600
1,0,73,80,9408,9600
1,0,91,80,9408,9600
1,0,97,80,9408,9600
1,0,66,80,9600,9792
1,0,74,80,9600,9792
1,0,90,80,9600,9792
1,0,98,80,9600,9792
1,0,64,80,9792,9984
1,0,76,80,9792,9984
1,0,88,80,9792,9984
1,0,100,80,9792,9984
1,0,62,80,9984,10176
1,0,78,80,9984,11136
1,0,86,80,9984,10176
1,0,102,80,9984,11136
1,0,61,80,10176,10368
1,0,85,80,10176,10368
2,0,42,80,10368,10752
2,0,54,80,10368,10752
2,0,59,80,10368,10560
1,0,83,80,10368,10560
2,0,57,80,10560,10752
1,0,81,80,10560,10752
2,0,43,80,10752,11136
2,0,55,80,10752,11136
2,0,59,80,10752,10944
1,0,83,80,10752,10944
1,0,62,80,10944,11136
1,0,86,80,10944,11136
2,0,45,80,11136,11520
2,0,57,80,11136,11520
1,0,67,80,11136,11328
1,0,76,80,11136,11904
1,0,91,80,11136,11328
1,0,100,80,11136,11904
1,0,61,80,11328,11520
1,0,85,80,11328,11520
2,0,47,80,11520,11904
2,0,59,80,11520,11904
1,0,62,80,11520,11712
1,0,86,80,11520,11712
1,0,64,80,11712,11904
1,0,88,80,11712,11904
2,0,42,80,11904,12288
2,0,54,80,11904,12288
1,0,66,80,11904,12096
1,0,74,80,11904,12480
1,0,90,80,11904,12096
1,0,98,80,11904,12480
2,0,57,80,12096,12288
1,0,81,80,12096,12288
2,0,43,80,12288,12672
2,0,55,80,12288,12672
2,0,59,80,12288,12480
1,0,83,80,12288,12480
1,0,66,80,12480,12672
1,0,73,80,12480,12672
1,0,90,80,12480,12672
1,0,97,80,12480,12672
2,0,40,80,12672,13056
2,0,52,80,12672,13056
1,0,64,80,12672,12864
1,0,74,80,12672,12864
1,0,88,80,12672,12864
1,0,98,80,12672,12864
1,0,62,80,12864,13056
1,0,76,80,12864,13056
1,0,86,80,12864,13056
1,0,100,80,12864,13056
2,0,45,80,13056,13440
2,0,57,80,13056,13440
1,0,61,80,13056,13248
1,0,76,80,13056,13824
1,0,85,80,13056,13248
1,0,100,80,13056,13824
1,0,71,80,13248,13440
1,0,95,80,13248,13440
2,0,33,80,13440,13824
2,0,45,80,13440,13824
1,0,69,80,13440,13632
1,0,93,80,13440,13632
1,0,67,80,13632,13824
1,0,91,80,13632,13824
2,0,38,80,13824,14592
2,0,50,80,13824,14592
1,0,66,80,13824,14016
1,0,74,80,13824,14016
1,0,90,80,13824,14016
1,0,98,80,13824,14016
1,0,64,80,14016,14208
1,0,76,80,14016,14208
1,0,88,80,14016,14208
1,0,100,80,14016,14208
1,0,62,80,14208,14400
1,0,78,80,14208,14400
1,0,86,80,14208,14400
1,0,102,80,14208,14400
1,0,64,80,14400,14592
1,0,79,80,14400,14592
1,0,88,80,14400,14592
1,0,103,80,14400,14592
1,0,66,80,14592,14976
1,0,81,80,14592,14784
1,0,90,80,14592,14976
1,0,105,80,14592,14784
1,0,74,80,14784,14976
1,0,98,80,14784,14976
1,0,73,80,14976,15168
1,0,97,80,14976,15168
1,0,74,80,15168,15360
1,0,98,80,15168,15360
1,0,68,80,15360,15744
1,0,83,80,15360,15552
1,0,92,80,15360,15744
1,0,107,80,15360,15552
1,0,74,80,15552,15744
1,0,98,80,15552,15744
1,0,76,80,15744,15936
1,0,100,80,15744,15936
1,0,71,80,15936,16128
1,0,95,80,15936,16128
1,0,69,80,16128,16512
1,0,72,80,16128,16320
1,0,93,80,16128,16512
1,0,96,80,16128,16320
1,0,74,80,16320,16512
1,0,98,80,16320,16512
1,0,76,80,16512,16704
1,0,100,80,16512,16704
1,0,78,80,16704,16896
1,0,102,80,16704,16896
1,0,64,80,16896,17280
1,0,79,80,16896,17088
1,0,88,80,16896,17280
1,0,103,80,16896,17088
1,0,72,80,17088,17280
1,0,96,80,17088,17280
1,0,71,80,17280,17472
1,0,95,80,17280,17472
1,0,72,80,17472,17664
1,0,96,80,17472,17664
1,0,66,80,17664,18048
1,0,81,80,17664,17856
1,0,90,80,17664,18048
1,0,105,80,17664,17856
1,0,72,80,17856,18048
1,0,96,80,17856,18048
1,0,74,80,18048,18240
1,0,98,80,18048,18240
1,0,69,80,18240,18432
1,0,93,80,18240,18432
2,0,31,80,18432,19200
2,0,43,80,18432,19200
1,0,67,80,18432,18816
1,0,71,80,18432,18624
1,0,91,80,18432,18816
1,0,95,80,18432,18624
1,0,69,80,18624,18816
1,0,93,80,18624,18816
1,0,71,80,18816,19008
1,0,95,80,18816,19008
1,0,72,80,19008,19200
1,0,96,80,19008,19200
2,0,35,80,19200,19968
2,0,47,80,19200,19968
1,0,74,80,19200,19392
