# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,39,80,0,960
2,0,46,80,0,960
2,0,51,80,0,960
2,0,54,80,0,240
2,0,58,80,0,240
1,0,63,80,0,240
1,0,63,80,0,480
2,0,58,80,240,480
1,0,63,80,240,720
1,0,66,80,240,480
2,0,58,80,480,720
1,0,63,80,480,960
1,0,66,80,480,720
1,0,63,80,720,960
1,0,66,80,720,960
1,0,70,80,720,960
2,0,39,80,960,1440
2,0,46,80,960,1440
2,0,50,80,960,1440
1,0,65,80,960,1200
1,0,65,80,960,1440
1,0,70,80,960,1200
2,0,58,80,1200,1440
1,0,65,80,1200,1440
2,0,39,80,1440,2400
2,0,46,80,1440,2400
2,0,51,80,1440,2400
2,0,58,80,1440,1680
1,0,63,80,1440,1680
1,0,66,80,1440,1680
1,0,66,80,1440,1920
1,0,63,80,1680,1920
1,0,66,80,1680,2160
1,0,70,80,1680,1920
1,0,63,80,1920,2160
1,0,66,80,1920,2400
1,0,70,80,1920,2160
1,0,66,80,2160,2400
1,0,70,80,2160,2400
1,0,75,80,2160,2400
2,0,39,80,2400,2880
2,0,46,80,2400,2880
2,0,51,80,2400,2880
1,0,66,80,2400,2640
1,0,70,80,2400,2640
1,0,70,80,2400,2880
1,0,75,80,2400,2640
1,0,63,80,2640,2880
1,0,66,80,2640,2880
1,0,70,80,2640,2880
2,0,39,80,2880,3360
2,0,42,80,2880,3360
2,0,47,80,2880,3360
1,0,63,80,2880,3120
1,0,66,80,2880,3120
1,0,71,80,2880,3120
1,0,71,80,2880,3360
1,0,66,80,3120,3360
1,0,71,80,3120,3360
1,0,75,80,3120,3360
2,0,39,80,3360,3840
2,0,46,80,3360,3840
2,0,51,80,3360,3840
1,0,66,80,3360,3600
1,0,70,80,3360,3600
1,0,70,80,3360,3840
1,0,75,80,3360,3600
1,0,63,80,3600,3840
1,0,66,80,3600,3840
1,0,70,80,3600,3840
2,0,39,80,3840,4320
2,0,46,80,3840,4320
2,0,51,80,3840,4320
1,0,66,80,3840,4080
1,0,70,80,3840,4080
1,0,75,80,3840,4080
1,0,75,80,3840,4320
1,0,70,80,4080,4320
1,0,75,80,4080,4320
1,0,78,80,4080,4320
2,0,34,80,4320,5280
2,0,46,80,4320,5280
1,0,70,80,4320,4560
1,0,74,80,4320,4560
1,0,77,80,4320,4560
1,0,77,80,4320,5280
1,0,65,80,4560,4800
1,0,70,80,4560,4800
1,0,74,80,4560,4800
1,0,62,80,4800,5040
1,0,65,80,4800,5040
1,0,70,80,4800,5040
2,0,58,80,5040,5280
1,0,62,80,5040,5280
1,0,65,80,5040,5280
2,0,32,80,5280,5760
2,0,44,80,5280,5760
2,0,53,80,5280,5520
2,0,58,80,5280,5520
1,0,62,80,5280,5520
1,0,70,80,5280,5760
2,0,50,80,5520,5760
2,0,53,80,5520,5760
2,0,58,80,5520,5760
2,0,30,80,5760,7200
2,0,42,80,5760,7200
2,0,51,80,5760,6000
2,0,54,80,5760,6000
2,0,58,80,5760,6000
1,0,70,80,5760,6240
2,0,54,80,6000,6240
2,0,58,80,6000,6240
1,0,63,80,6000,6240
2,0,58,80,6240,6480
1,0,63,80,6240,6480
1,0,66,80,6240,6480
1,0,66,80,6240,6720
2,0,54,80,6480,6720
2,0,58,80,6480,6720
1,0,63,80,6480,6720
1,0,63,80,6720,6960
1,0,63,80,6720,7200
1,0,66,80,6720,6960
1,0,70,80,6720,6960
2,0,58,80,6960,7200
1,0,63,80,6960,7200
1,0,66,80,6960,7200
2,0,35,80,7200,8160
2,0,47,80,7200,8160
2,0,59,80,7200,7440
2,0,59,80,7200,8160
1,0,63,80,7200,7440
1,0,66,80,7200,7440
1,0,63,80,7440,7680
1,0,66,80,7440,7680
1,0,71,80,7440,7680
1,0,66,80,7680,7920
1,0,71,80,7680,7920
1,0,75,80,7680,7920
1,0,63,80,7920,8160
1,0,66,80,7920,8160
1,0,71,80,7920,8160
2,0,34,80,8160,8640
2,0,46,80,8160,8640
1,0,63,80,8160,8640
1,0,67,80,8160,8400
1,0,71,80,8160,8400
1,0,75,80,8160,8400
1,0,63,80,8400,8640
1,0,67,80,8400,8640
1,0,71,80,8400,8640
2,0,32,80,8640,10080
2,0,44,80,8640,10080
1,0,63,80,8640,9120
1,0,68,80,8640,8880
1,0,71,80,8640,8880
1,0,75,80,8640,8880
1,0,63,80,8880,9120
1,0,68,80,8880,9120
1,0,71,80,8880,9120
1,0,63,80,9120,9360
1,0,68,80,9120,9360
