# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,62,80,480,960
2,0,58,80,960,1320
2,0,57,80,1320,1440
2,0,55,80,1440,1680
2,0,58,80,1440,1680
1,0,62,80,1440,1680
1,0,64,80,1440,1680
2,0,55,80,1920,2280
2,0,53,80,2280,2400
2,0,52,80,2400,2640
2,0,58,80,2400,2640
1,0,62,80,2400,2640
1,0,67,80,2400,2640
2,0,47,80,3120,3600
2,0,52,80,3120,3600
1,0,62,80,3120,3600
1,0,68,80,3120,3600
1,0,74,80,3120,3600
2,0,46,80,3600,3840
2,0,52,80,3600,3840
1,0,62,80,3600,3840
1,0,67,80,3600,3840
1,0,74,80,3600,3840
2,0,45,80,3840,4800
2,0,57,80,3840,4320
1,0,62,80,3840,4200
1,0,66,80,3840,4200
1,0,74,80,3840,4200
1,0,69,80,4200,4320
2,0,59,80,4320,4560
1,0,62,80,4320,4560
1,0,67,80,4320,4560
2,0,57,80,4560,4800
1,0,66,80,4560,4800
2,0,45,80,4800,5760
2,0,55,80,4800,5760
2,0,57,80,4800,5760
1,0,62,80,4800,5280
1,0,69,80,4800,5520
1,0,61,80,5280,5760
1,0,66,80,5520,5760
2,0,38,80,5760,6240
2,0,45,80,5760,6240
2,0,54,80,5760,6000
2,0,57,80,5760,6000
1,0,62,80,5760,6000
1,0,66,80,5760,6000
2,0,54,80,6000,6480
2,0,57,80,6000,6480
1,0,62,80,6000,6480
1,0,66,80,6000,6240
2,0,38,80,6240,6480
2,0,45,80,6240,6480
1,0,65,80,6240,6480
2,0,57,80,6480,6720
1,0,62,80,6480,6720
1,0,66,80,6480,6720
1,0,66,80,6480,6720
2,0,38,80,6720,7200
2,0,45,80,6720,7200
1,0,69,80,6720,6960
2,0,57,80,6960,7440
1,0,61,80,6960,7440
1,0,67,80,6960,7440
1,0,69,80,6960,7200
2,0,38,80,7200,7440
2,0,45,80,7200,7440
1,0,64,80,7200,7680
2,0,57,80,7440,7680
1,0,61,80,7440,7680
1,0,67,80,7440,7680
1,0,69,80,7440,7680
2,0,50,80,7680,8640
1,0,67,80,7680,7920
2,0,59,80,7920,8400
1,0,62,80,7920,8400
1,0,67,80,7920,8160
1,0,67,80,7920,8400
1,0,62,80,8160,8400
2,0,58,80,8400,8640
1,0,62,80,8400,8640
1,0,64,80,8400,8640
1,0,67,80,8400,8640
2,0,38,80,8640,8880
2,0,57,80,8640,8880
1,0,62,80,8640,8880
1,0,66,80,8640,8880
1,0,66,80,8640,9120
1,0,62,80,8880,9360
1,0,66,80,8880,9360
1,0,69,80,8880,9360
1,0,69,80,9120,9360
1,0,62,80,9360,9600
1,0,66,80,9360,9600
1,0,69,80,9360,9600
1,0,71,80,9600,9960
1,0,62,80,9840,10320
1,0,66,80,9840,10320
1,0,71,80,9840,10080
1,0,71,80,9960,10320
2,0,50,80,10080,10560
1,0,66,80,10080,10320
2,0,59,80,10320,10560
1,0,62,80,10320,10560
1,0,66,80,10320,10560
1,0,69,80,10320,10560
2,0,52,80,10560,11280
1,0,71,80,10560,10800
2,0,59,80,10800,11280
1,0,62,80,10800,11280
1,0,67,80,10800,11280
1,0,71,80,10800,11040
1,0,67,80,11040,11520
2,0,52,80,11280,11520
1,0,62,80,11520,12000
1,0,71,80,11520,11760
1,0,64,80,11760,12240
1,0,67,80,11760,12240
1,0,71,80,11760,12000
1,0,71,80,11880,12240
1,0,61,80,12000,12240
1,0,73,80,12000,12240
2,0,59,80,12240,12480
1,0,64,80,12240,12480
1,0,67,80,12240,12480
1,0,71,80,12240,12480
1,0,74,80,12240,12480
2,0,57,80,12480,13200
1,0,61,80,12480,13200
1,0,76,80,12480,12960
1,0,64,80,12720,13200
1,0,67,80,12720,13200
1,0,69,80,12720,13200
1,0,73,80,12960,13200
2,0,55,80,13200,13440
2,0,57,80,13200,13440
1,0,61,80,13200,13440
1,0,64,80,13200,13440
1,0,71,80,13200,13440
2,0,54,80,13440,13680
2,0,57,80,13440,13680
1,0,62,80,13440,13680
1,0,66,80,13440,13680
1,0,69,80,13440,13680
2,0,57,80,13680,14160
1,0,62,80,13680,14160
1,0,66,80,13680,13920
1,0,66,80,13680,14160
1,0,67,80,13920,14160
2,0,57,80,14160,14400
1,0,62,80,14160,14400
1,0,66,80,14160,14400
1,0,68,80,14160,14400
2,0,52,80,14400,14880
2,0,55,80,14400,14880
1,0,69,80,14400,14640
2,0,57,80,14640,15120
1,0,61,80,14640,15120
1,0,69,80,14640,14880
1,0,69,80,14640,15120
2,0,52,80,14880,15120
2,0,55,80,14880,15120
1,0,64,80,14880,15360
2,0,57,80,15120,15360
1,0,61,80,15120,15360
1,0,67,80,15120,15360
2,0,50,80,15360,15840
1,0,67,80,15360,15600
2,0,59,80,15600,16080
1,0,62,80,15600,16080
1,0,67,80,15600,16080
1,0,71,80,15600,15840
2,0,47,80,15840,16320
1,0,74,80,15840,16080
1,0,62,80,16080,16320
1,0,67,80,16080,16320
1,0,71,80,16080,16320
1,0,76,80,16080,16320
2,0,46,80,16320,16800
2,0,54,80,16320,16800
1,0,61,80,16320,16560
1,0,66,80,16320,16560
1,0,73,80,16320,16560
1,0,78,80,16320,16800
1,0,61,80,16560,17040
1,0,64,80,16560,17040
1,0,66,80,16560,17040
1,0,73,80,16560,17040
2,0,46,80,16800,17040
2,0,54,80,16800,17040
1,0,66,80,16800,17040
1,0,61,80,17040,17280
1,0,64,80,17040,17280
1,0,66,80,17040,17280
1,0,73,80,17040,17280
1,0,66,80,17280,17520
1,0,66,80,17280,17520
1,0,64,80,17520,17760
1,0,66,80,17520,18000
1,0,72,80,17520,17760
1,0,72,80,17520,17760
2,0,47,80,17760,18240
1,0,63,80,17760,18000
1,0,71,80,17760,18000
1,0,71,80,17760,18000
1,0,66,80,18000,18240
1,0,69,80,18000,18240
1,0,69,80,18000,18240
1,0,69,80,18000,18240
2,0,52,80,18240,18480
1,0,64,80,18240,18480
1,0,67,80,18240,18480
1,0,67,80,18240,18720
1,0,64,80,18480,18960
1,0,67,80,18480,18960
2,0,40,80,18720,19200
2,0,55,80,18720,19200
1,0,62,80,18720,19200
1,0,64,80,18960,19200
