# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,62,80,0,480
1,0,62,80,0,480
1,0,62,80,1440,2400
1,0,62,80,1440,2400
2,0,58,80,1680,1920
2,0,57,80,1920,2160
2,0,53,80,2160,2400
2,0,52,80,2400,2640
1,0,62,80,2400,2880
1,0,62,80,2400,2880
2,0,50,80,2640,2880
1,0,62,80,2880,3840
1,0,65,80,2880,3840
1,0,65,80,2880,3840
2,0,46,80,3120,3360
2,0,45,80,3360,3600
2,0,41,80,3600,3840
2,0,40,80,3840,4080
1,0,62,80,3840,4320
1,0,65,80,3840,4320
1,0,65,80,3840,4320
2,0,38,80,4080,4320
1,0,62,80,4320,5280
1,0,64,80,4320,5280
1,0,64,80,4320,5280
1,0,60,80,4560,4800
2,0,58,80,4800,5040
2,0,55,80,5040,5280
2,0,53,80,5280,5520
1,0,62,80,5280,5760
1,0,64,80,5280,5760
1,0,64,80,5280,5760
2,0,52,80,5520,5760
1,0,62,80,5760,6720
1,0,64,80,5760,6720
1,0,67,80,5760,6720
1,0,69,80,5760,6720
2,0,48,80,6000,6240
2,0,46,80,6240,6480
2,0,43,80,6480,6720
2,0,41,80,6720,6960
1,0,62,80,6720,7200
1,0,67,80,6720,7200
1,0,70,80,6720,7200
1,0,70,80,6720,7200
2,0,40,80,6960,7200
1,0,67,80,7200,8160
1,0,69,80,7200,8160
1,0,69,80,7200,8160
1,0,62,80,7440,7680
1,0,61,80,7680,7920
2,0,52,80,7920,8160
1,0,67,80,8160,8640
1,0,70,80,8160,8640
1,0,70,80,8160,8640
2,0,45,80,8400,8640
1,0,64,80,8640,9120
1,0,69,80,8640,9120
1,0,69,80,8640,9120
1,0,61,80,8880,9120
2,0,59,80,9120,9360
1,0,62,80,9120,9600
1,0,68,80,9120,9600
1,0,68,80,9120,9600
2,0,50,80,9360,9600
1,0,61,80,9600,10080
1,0,67,80,9600,10080
1,0,67,80,9600,10080
2,0,45,80,9840,10080
1,0,62,80,10080,11040
1,0,65,80,10080,11040
1,0,65,80,10080,11040
