# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,36,80,0,384
1,0,60,80,0,192
1,0,63,80,0,192
2,0,72,80,0,192
1,0,84,80,0,192
1,0,67,80,192,384
1,0,67,80,384,576
2,0,75,80,384,576
1,0,87,80,384,576
1,0,67,80,576,768
2,0,39,80,768,1152
1,0,60,80,768,960
2,0,79,80,768,960
1,0,91,80,768,960
1,0,67,80,960,1152
1,0,67,80,1152,1344
2,0,77,80,1152,1344
1,0,89,80,1152,1344
1,0,67,80,1344,1536
2,0,75,80,1344,1536
1,0,87,80,1344,1536
2,0,43,80,1536,1920
1,0,59,80,1536,1728
1,0,62,80,1536,1728
2,0,74,80,1536,1728
1,0,86,80,1536,1728
1,0,67,80,1728,1920
1,0,67,80,1920,2112
2,0,77,80,1920,2112
1,0,89,80,1920,2112
1,0,67,80,2112,2304
2,0,47,80,2304,2688
1,0,62,80,2304,2496
1,0,65,80,2304,2496
2,0,79,80,2304,2496
1,0,91,80,2304,2496
1,0,67,80,2496,2688
1,0,67,80,2688,2880
2,0,77,80,2688,2880
1,0,89,80,2688,2880
1,0,67,80,2880,3072
2,0,74,80,2880,3072
1,0,86,80,2880,3072
2,0,48,80,3072,3264
2,0,75,80,3072,3264
1,0,87,80,3072,3264
1,0,60,80,3264,3456
1,0,63,80,3264,3456
1,0,67,80,3264,3456
2,0,53,80,3456,3648
2,0,74,80,3456,3648
1,0,86,80,3456,3648
1,0,59,80,3648,3840
1,0,62,80,3648,3840
1,0,67,80,3648,3840
2,0,51,80,3840,4032
2,0,72,80,3840,4032
1,0,84,80,3840,4032
1,0,60,80,4032,4224
1,0,63,80,4032,4224
1,0,67,80,4032,4224
2,0,48,80,4224,4416
2,0,74,80,4224,4416
1,0,86,80,4224,4416
1,0,60,80,4416,4608
1,0,63,80,4416,4608
1,0,67,80,4416,4608
2,0,75,80,4416,4608
1,0,87,80,4416,4608
2,0,43,80,4608,4800
1,0,59,80,4608,4800
1,0,62,80,4608,4800
1,0,67,80,4608,4800
2,0,74,80,4608,4800
1,0,86,80,4608,4800
2,0,31,80,4992,5280
2,0,43,80,4992,5280
1,0,55,80,4992,5280
1,0,67,80,4992,5280
2,0,79,80,4992,5280
1,0,91,80,4992,5280
