# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,833333
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,29,80,0,10176
2,0,41,80,0,10176
1,0,60,80,96,192
1,0,65,80,192,288
1,0,69,80,288,384
1,0,72,80,384,480
1,0,65,80,480,576
1,0,69,80,576,672
1,0,72,80,672,768
1,0,74,80,768,864
1,0,70,80,864,960
1,0,67,80,960,1056
1,0,70,80,1056,1152
1,0,64,80,1152,1248
1,0,74,80,1248,1344
1,0,72,80,1344,1440
1,0,70,80,1440,1536
1,0,69,80,1536,1728
2,0,53,80,1632,1728
2,0,57,80,1728,1824
1,0,77,80,1728,2112
1,0,60,80,1824,1920
1,0,65,80,1920,2016
2,0,57,80,2016,2112
1,0,60,80,2112,2208
1,0,76,80,2112,2208
1,0,65,80,2208,2304
1,0,74,80,2208,2304
1,0,69,80,2304,2400
1,0,72,80,2304,2400
1,0,65,80,2400,2496
1,0,74,80,2400,2496
1,0,62,80,2496,2592
1,0,70,80,2496,2592
1,0,65,80,2592,2688
1,0,72,80,2592,2688
2,0,58,80,2688,2784
1,0,74,80,2688,2784
1,0,69,80,2784,2880
1,0,72,80,2784,2880
1,0,67,80,2880,2976
1,0,70,80,2880,2976
1,0,65,80,2976,3072
1,0,69,80,2976,3072
1,0,64,80,3072,3168
1,0,67,80,3072,3168
1,0,65,80,3168,3264
1,0,69,80,3168,3264
1,0,62,80,3264,3360
1,0,70,80,3264,3648
1,0,64,80,3360,3456
1,0,65,80,3456,3552
1,0,62,80,3552,3648
1,0,60,80,3648,3744
1,0,69,80,3648,3744
2,0,58,80,3744,3840
1,0,67,80,3744,3840
2,0,57,80,3840,3936
1,0,65,80,3840,3936
2,0,58,80,3936,4032
1,0,67,80,3936,4032
2,0,55,80,4032,4128
1,0,64,80,4032,4128
2,0,57,80,4128,4224
1,0,65,80,4128,4224
2,0,58,80,4224,4800
1,0,67,80,4224,4320
1,0,65,80,4320,4416
1,0,64,80,4416,4512
1,0,62,80,4512,4608
1,0,60,80,4608,5184
1,0,65,80,4704,4800
2,0,57,80,4800,4896
1,0,69,80,4800,4896
2,0,55,80,4896,4992
1,0,72,80,4896,4992
2,0,57,80,4992,5184
1,0,77,80,4992,5088
1,0,69,80,5088,5184
2,0,53,80,5184,5376
2,0,57,80,5184,5376
1,0,72,80,5184,5280
1,0,77,80,5280,5376
2,0,48,80,5376,5568
2,0,53,80,5376,5568
1,0,81,80,5376,5472
1,0,77,80,5472,5568
2,0,53,80,5568,6144
2,0,57,80,5568,5760
1,0,74,80,5568,5664
1,0,77,80,5664,5760
1,0,62,80,5760,5856
1,0,70,80,5760,5856
1,0,60,80,5856,5952
1,0,81,80,5856,5952
2,0,58,80,5952,6048
1,0,79,80,5952,6048
2,0,57,80,6048,6144
1,0,77,80,6048,6144
2,0,55,80,6144,6432
2,0,58,80,6144,6240
1,0,76,80,6144,6336
1,0,60,80,6240,6336
1,0,62,80,6336,6624
1,0,82,80,6336,6720
2,0,53,80,6432,6528
2,0,52,80,6528,6912
1,0,62,80,6624,6720
1,0,60,80,6720,6816
1,0,81,80,6720,6816
2,0,58,80,6816,6912
1,0,79,80,6816,6912
2,0,53,80,6912,7104
2,0,57,80,6912,7104
1,0,77,80,6912,7008
1,0,79,80,7008,7104
2,0,57,80,7104,7296
1,0,60,80,7104,7296
1,0,76,80,7104,7200
1,0,77,80,7200,7296
2,0,58,80,7296,7488
1,0,62,80,7296,7488
1,0,79,80,7296,7392
1,0,77,80,7392,7488
2,0,55,80,7488,7680
2,0,58,80,7488,7680
1,0,76,80,7488,7584
1,0,74,80,7584,7680
2,0,57,80,7680,7776
1,0,60,80,7680,7872
1,0,72,80,7680,7776
2,0,58,80,7776,7872
1,0,74,80,7776,7872
1,0,60,80,7872,8064
1,0,75,80,7872,8256
1,0,70,80,7968,8064
2,0,53,80,8064,9024
1,0,69,80,8064,8160
1,0,67,80,8160,8256
1,0,65,80,8256,8352
1,0,74,80,8256,8352
1,0,63,80,8352,8448
1,0,72,80,8352,8448
1,0,62,80,8448,8544
1,0,70,80,8448,8544
1,0,63,80,8544,8640
1,0,72,80,8544,8640
1,0,60,80,8640,8736
1,0,69,80,8640,8736
1,0,62,80,8736,8832
1,0,70,80,8736,8832
1,0,63,80,8832,9312
1,0,72,80,8832,8928
1,0,70,80,8928,9024
2,0,55,80,9024,9216
1,0,69,80,9024,9120
1,0,67,80,9120,9216
2,0,57,80,9216,9696
1,0,65,80,9216,10656
1,0,63,80,9312,9408
1,0,62,80,9408,9504
1,0,60,80,9504,9600
1,0,62,80,9600,9888
2,0,57,80,9696,9792
2,0,58,80,9792,10080
1,0,62,80,9888,9984
1,0,60,80,9984,10560
2,0,58,80,10080,10176
2,0,31,80,10176,10368
2,0,43,80,10176,10368
2,0,57,80,10176,10272
2,0,55,80,10272,10368
2,0,33,80,10368,10560
2,0,45,80,10368,10560
2,0,53,80,10368,10464
2,0,55,80,10464,10560
2,0,34,80,10560,10752
2,0,46,80,10560,10752
2,0,57,80,10560,10752
1,0,62,80,10560,10752
1,0,70,80,10656,10848
2,0,36,80,10752,12288
2,0,48,80,10752,12288
2,0,55,80,10752,10848
1,0,64,80,10752,10944
2,0,48,80,10848,10944
1,0,70,80,10848,11040
2,0,52,80,10944,11040
1,0,67,80,10944,11328
2,0,55,80,11040,11136
1,0,70,80,11040,11136
1,0,60,80,11136,11232
1,0,69,80,11136,11712
2,0,53,80,11232,11328
2,0,57,80,11328,11424
1,0,65,80,11328,11424
1,0,60,80,11424,11520
1,0,64,80,11424,11520
1,0,62,80,11520,11616
1,0,65,80,11520,12096
2,0,59,80,11616,11712
2,0,55,80,11712,11808
1,0,74,80,11712,11904
2,0,59,80,11808,11904
2,0,52,80,11904,12000
1,0,67,80,11904,12096
1,0,62,80,12000,12096
1,0,60,80,12096,12192
1,0,64,80,12096,12288
1,0,72,80,12096,12384
2,0,58,80,12192,12288
2,0,38,80,12288,13056
2,0,50,80,12288,13056
2,0,57,80,12288,12480
1,0,65,80,12288,13248
1,0,72,80,12384,12480
2,0,55,80,12480,12672
1,0,71,80,12480,12576
1,0,69,80,12576,12672
2,0,53,80,12672,13056
1,0,71,80,12672,12768
1,0,72,80,12768,12864
1,0,69,80,12864,12960
1,0,71,80,12960,13056
2,0,36,80,13056,13440
2,0,48,80,13056,13440
2,0,55,80,13056,13440
1,0,72,80,13056,13152
1,0,67,80,13152,13248
1,0,64,80,13248,13344
1,0,72,80,13248,13344
1,0,62,80,13344,13440
1,0,76,80,13344,13440
2,0,34,80,13440,13824
2,0,46,80,13440,13824
1,0,64,80,13440,13824
1,0,79,80,13440,13536
1,0,72,80,13536,13632
