# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,240
1,0,60,80,0,240
2,0,53,80,1920,2400
1,0,60,80,1920,2400
1,0,69,80,1920,2160
1,0,69,80,1920,2400
1,0,68,80,2160,2400
2,0,48,80,2400,2880
1,0,60,80,2400,2880
1,0,69,80,2400,2640
1,0,69,80,2400,2880
1,0,68,80,2640,2880
2,0,41,80,2880,3840
1,0,60,80,2880,3840
1,0,69,80,2880,3120
1,0,69,80,2880,3360
1,0,68,80,3120,3360
1,0,69,80,3360,3600
1,0,69,80,3360,3600
1,0,70,80,3600,3840
1,0,70,80,3600,3840
2,0,41,80,3840,4320
2,0,53,80,3840,4320
1,0,60,80,3840,4320
1,0,72,80,3840,4080
1,0,72,80,3840,4320
1,0,71,80,4080,4320
2,0,40,80,4320,4800
2,0,52,80,4320,4800
1,0,72,80,4320,4560
1,0,72,80,4320,4560
1,0,70,80,4560,4800
1,0,70,80,4560,4800
2,0,41,80,4800,5280
2,0,53,80,4800,5280
1,0,69,80,4800,5280
1,0,69,80,4800,5280
1,0,72,80,5280,5760
1,0,72,80,5280,5760
2,0,52,80,5760,6240
1,0,67,80,5760,6000
1,0,67,80,5760,6240
1,0,66,80,6000,6240
2,0,50,80,6240,6720
1,0,60,80,6240,6720
1,0,67,80,6240,6480
1,0,67,80,6240,6480
1,0,65,80,6480,6720
1,0,66,80,6480,6720
2,0,52,80,6720,7200
1,0,60,80,6720,7200
1,0,67,80,6720,6960
1,0,67,80,6720,6960
1,0,66,80,6960,7200
1,0,66,80,6960,7200
2,0,53,80,7200,7680
1,0,60,80,7200,7680
1,0,67,80,7200,7440
1,0,67,80,7200,7440
1,0,69,80,7440,7680
1,0,69,80,7440,7680
2,0,55,80,7680,8160
1,0,64,80,7680,7920
1,0,67,80,7680,7920
1,0,67,80,7680,7920
1,0,62,80,7920,8160
1,0,65,80,7920,8160
1,0,65,80,7920,8160
2,0,43,80,8160,8640
1,0,60,80,8160,8400
1,0,64,80,8160,8400
1,0,64,80,8160,8400
2,0,59,80,8400,8640
1,0,62,80,8400,8640
1,0,62,80,8400,8640
2,0,48,80,8640,9120
1,0,60,80,8640,9120
1,0,60,80,8640,9120
1,0,60,80,9360,9600
2,0,55,80,9600,10080
1,0,60,80,9600,10080
1,0,70,80,9600,9840
1,0,70,80,9600,10080
1,0,69,80,9840,10080
2,0,53,80,10080,10560
1,0,60,80,10080,10560
1,0,70,80,10080,10320
1,0,70,80,10080,10320
1,0,69,80,10320,10560
1,0,69,80,10320,10560
2,0,52,80,10560,11040
1,0,60,80,10560,11040
1,0,67,80,10560,11040
1,0,70,80,10560,10800
1,0,67,80,10800,11040
2,0,50,80,11040,11520
1,0,60,80,11040,11520
1,0,65,80,11040,11520
1,0,70,80,11040,11280
1,0,65,80,11280,11520
2,0,48,80,11520,12000
1,0,60,80,11520,12000
1,0,64,80,11520,12000
1,0,70,80,11520,11760
1,0,64,80,11760,12000
2,0,50,80,12000,12480
1,0,60,80,12000,12480
1,0,65,80,12000,12480
1,0,70,80,12000,12240
1,0,65,80,12240,12480
2,0,52,80,12480,12960
1,0,60,80,12480,13440
1,0,67,80,12480,12960
1,0,70,80,12480,12720
1,0,69,80,12720,12960
2,0,48,80,12960,13440
1,0,70,80,12960,13200
1,0,60,80,13200,13440
1,0,60,80,13200,13440
2,0,57,80,13440,13920
1,0,60,80,13440,13920
1,0,72,80,13440,13680
1,0,72,80,13440,13920
1,0,71,80,13680,13920
2,0,55,80,13920,14400
1,0,60,80,13920,14400
1,0,72,80,13920,14160
1,0,72,80,13920,14160
1,0,70,80,14160,14400
1,0,70,80,14160,14400
2,0,53,80,14400,14880
1,0,60,80,14400,14880
1,0,69,80,14400,14880
1,0,72,80,14400,14640
1,0,69,80,14640,14880
2,0,52,80,14880,15360
1,0,60,80,14880,15360
1,0,67,80,14880,15120
1,0,72,80,14880,15120
1,0,67,80,15120,15360
1,0,67,80,15120,15360
2,0,50,80,15360,16320
1,0,65,80,15360,15840
1,0,67,80,15360,15420
1,0,71,80,15360,15600
1,0,65,80,15600,15840
1,0,64,80,15840,16080
1,0,71,80,15840,16080
1,0,65,80,16080,16320
1,0,65,80,16080,16320
2,0,48,80,16320,16800
1,0,60,80,16320,16800
1,0,64,80,16320,16800
1,0,67,80,16320,16800
1,0,72,80,16320,16560
1,0,64,80,16560,16800
2,0,46,80,16800,17280
1,0,60,80,16800,17280
1,0,72,80,16800,17040
1,0,60,80,17040,17280
1,0,60,80,17040,17280
2,0,45,80,17280,17760
1,0,60,80,17280,17760
1,0,72,80,17280,17520
1,0,72,80,17280,17760
1,0,71,80,17520,17760
2,0,43,80,17760,18240
1,0,60,80,17760,18240
1,0,72,80,17760,18000
1,0,72,80,17760,18000
1,0,70,80,18000,18240
1,0,70,80,18000,18240
2,0,41,80,18240,18720
1,0,60,80,18240,18720
1,0,69,80,18240,18480
1,0,69,80,18240,18720
1,0,72,80,18480,18720
2,0,46,80,18720,19200
1,0,67,80,18720,18960
1,0,67,80,18720,18960
1,0,70,80,18960,19200
1,0,70,80,18960,19200
2,0,48,80,19200,19680
1,0,65,80,19200,19680
1,0,69,80,19200,19680
1,0,69,80,19200,19680
2,0,36,80,19680,20160
1,0,64,80,19680,20160
1,0,67,80,19680,20160
1,0,67,80,19680,20160
2,0,41,80,20160,20640
2,0,53,80,20160,20640
1,0,65,80,20160,20640
1,0,65,80,20160,20640
