# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,50,80,0,240
1,0,62,80,0,240
2,0,43,80,2880,4320
2,0,55,80,2880,4320
2,0,58,80,2880,3120
1,0,62,80,2880,3120
1,0,67,80,2880,3120
1,0,60,80,3120,3360
1,0,63,80,3120,3360
1,0,66,80,3120,3360
1,0,69,80,3120,3360
2,0,58,80,3360,3600
1,0,62,80,3360,3600
1,0,67,80,3360,3600
1,0,63,80,3600,3840
1,0,66,80,3600,3840
1,0,69,80,3600,3840
1,0,72,80,3600,3840
1,0,62,80,3840,4080
1,0,67,80,3840,4080
1,0,70,80,3840,4080
1,0,66,80,4080,4320
1,0,69,80,4080,4320
1,0,72,80,4080,4320
1,0,75,80,4080,4320
2,0,43,80,4320,5040
2,0,55,80,4320,5040
1,0,67,80,4320,4560
1,0,70,80,4320,4560
1,0,74,80,4320,4560
1,0,66,80,4560,4800
1,0,69,80,4560,4800
1,0,72,80,4560,4800
1,0,75,80,4560,4800
1,0,67,80,4800,5040
1,0,70,80,4800,5040
1,0,74,80,4800,5040
2,0,43,80,5040,5520
2,0,55,80,5040,5520
1,0,63,80,5040,5280
1,0,66,80,5040,5280
1,0,69,80,5040,5280
1,0,72,80,5040,5280
1,0,62,80,5280,5520
1,0,67,80,5280,5520
1,0,70,80,5280,5520
2,0,50,80,5520,5760
2,0,50,80,5520,5760
1,0,60,80,5520,5760
1,0,66,80,5520,5760
1,0,69,80,5520,5760
2,0,43,80,5760,6480
2,0,55,80,5760,6480
2,0,58,80,5760,6000
1,0,62,80,5760,6000
1,0,67,80,5760,6000
2,0,57,80,6000,6240
1,0,62,80,6000,6240
1,0,66,80,6000,6240
2,0,58,80,6240,6480
1,0,62,80,6240,6480
1,0,67,80,6240,6480
2,0,36,80,6480,6960
2,0,48,80,6480,6960
1,0,62,80,6480,6720
1,0,63,80,6480,6720
1,0,70,80,6480,6720
1,0,60,80,6720,6960
1,0,69,80,6720,6960
2,0,37,80,6960,7200
2,0,49,80,6960,7200
2,0,58,80,6960,7200
1,0,64,80,6960,7200
1,0,67,80,6960,7200
2,0,38,80,7200,7920
2,0,50,80,7200,7920
2,0,57,80,7200,7440
1,0,62,80,7200,7440
1,0,66,80,7200,7440
2,0,54,80,7440,7680
2,0,57,80,7440,7680
1,0,63,80,7440,7680
2,0,55,80,7680,7920
2,0,58,80,7680,7920
1,0,62,80,7680,7920
